NÚMERO  ,EMPRESA,DOMICILIO,CLAVE DEL ESTADO,ESTADO ,CLAVE DEL MUNICIPIO,MUNICIPIO,CAPACIDAD DE TRATAMIENTO (TON/AÑO),AUTORIZADO PARA REMEDIAR:,No.  AUTORIZACIÓN ,OFICIO DE AUTORIZACION  DGGIMAR.710/,FECHA DE INICIO DE VIGENCIA,FECHA DE TÉRMINO DE VIGENCIA ,MODIFICACIONES  A LA AUTORIZACIÓN NÚMERO DE OFICIO/FECHA  ,CLAVES DE LOS PROCESOS DE TRATAMIENTO AUTORIZADOS         ,  OTROS  TRATAMIENTOS
11,"Grupo Preservare, SA de CV","Calle 5   No   10,  Col Espartaco, Del Coyoacán , CP  04870, México, DF Tel. 5568 7769",9,Ciudad de México,3,Coyoacán,,"Suelos y materiales semejantes a suelos, contaminados con hidrocarburos","09-V-15-09
Prorroga","002151
",20/03/2009,20/03/2019, SE MODIFICA para aplicar OTR 1 Y  OTR 2 (30 ABRIL 2012),"PILA-LS 
LAND-LS  
LAND-S 
BVAE-S
EXVA-S 
OXIQ-LS 
OTR1-LS
OTR2-LS","OTR1-LS: PRETRATAMIENTO DE SUELOS AFECTADOS DE AGUA SALADA                OTR2-LS:
 FLUIDIZACION DE HIDROCARBUROS INTEMPERIZADOS Y SEMI INTEMPERIZADOS A UN LADO DEL SITIO"
12,Grupo Urbis SA de CV,"Calle 5   No   10,  Col Espartaco, Del Coyoacán , CP  04870, México, DF Tel 5568 7769",9,Ciudad de México,3,Coyoacán,,"Suelos y materiales semejantes a suelos, contaminados con hidrocarburos","09-V-14-09
Prorroga","002150
20Mar09",20/03/2009,20/03/2019, SE MODIFICA para aplicar OTR1 Y  OTR2 (30 ABRIL 2012),"LAVS-LS
LAND-S
BVAE-S
EXVA-S
PILA-LS
LAND-LS
OXIQ-LS
OTR1-LS
OTR2-LS","OTR1-LS: PRETRATAMIENTO DE SUELOS AFECTADOS DE AGUA SALADA                 OTR2-LS:
 FLUIDIZACION DE HIDROCARBUROS INTEMPERIZADOS Y SEMI INTEMPERIZADOS A UN LADO DEL SITIO"
13,"Limpieza Integral del Medio Ambiente, 
SA de CV","Silos No 45, C-405, Unidad Habitacional Narciso Mendoza, CP 14390, Del Tlalpan, México, DF Tel. 5673 51 40,  1090 45 03",9,Ciudad de México,12,Tlalpan,,Suelos contaminados con hidrocarburos ,9-V-44-09      ,"005003
",19/06/2009,19/06/2019,,EXVA-S,
14,"ABC Soluciones Corporativas, SA de CV ","Río Bamba No 801, Col Lindavista, CP 07300, Del Gustavo A Madero 
Tel 5754 1482 
Fax 5754 1798 ext 202 ",9,Ciudad de México,5,Gustavo A. Madero,,"Suelos y materiales semejantes a suelos, contaminados con hidrocarburos",9- V-90-09    ,"007664
",7/10/2009,7/10/2019,,"LAND-LS
OXIQ-LS
BVAE-S
EXVA-S
LAND-S
PILA-LS",
15,"Energía y Ecología de México, SA de CV ","Puebla No 183
 Col San Angel
 CP 01000, Del Álvaro Obregón, DF  
Tel   55 54 35 82, 5521 8542
eneryeco@prodigy.net.mx ",9,Ciudad de México,10,Álvaro Obregón,,Suelos contaminados con hidrocarburos,"09- V-57-14
PRÓRROGA",9234,17/10/2014,17/10/2019,,"PILA-LS
OXIQ-LS
BVAE-S 
EXVA-S",
16,"Tecnipetróleos de México, S.A. de C.V. ","Campos Eliseos No. 325-PB 
Col. Polanco 
C.P. 11560, Del. Miguel Hidalgo, México, D.F.  
Tel. 5281 71 28 
tecnipetroleos@hotmail.com
",9,Ciudad de México,16,Miguel Hidalgo,,"Suelos y materiales semejantes a suelos, contaminados con hidrocarburos",9-V-06-10 ,446,27/01/2010,27/01/2020,,LAVS-LS,
17,"Desarrollo Suntentable para el Futuro, S.A. de C.V.","Bóvedas No. 29  
Col. Jardines del Sur 
C.P. 16050, Del. Xochimilco, México, D.F. 
Tel.   5489 0148
direccion@dsfuturo.com
",9,Ciudad de México,13,Xochimilco,,"Suelos y materiales semejantes a suelos, contaminados con hidrocarburos",9-V-08-10 ,618,3/2/2010,3/2/2020,,"LAND-LS
OXIQ-LS
LAND-S
EXVA-S",
18,"Gaan Consultores,  
SA de CV","2da. Cerrada de Jacarandas No. 9 
Col. Sta. Cecilia Tepetlapa,  C.P. 16880 
Del. Xochimilco,  Distrito Federal 
Tel.  5538 40 54
gaanconsultores@yahoo.com.mx 
",9,Ciudad de México,13,Xochimilco,,Suelos contaminados con hidrocarburos,"09- V-03-15 
PRÓRROGA",958,10/2/2015,10/2/2020,,"PILA-LS 
EXVA-S",
19,"Geología y Medio Ambiente, S.A. de C.V. ","Alfredo Robles Domínguez No. 258-1
Col. Vallejo,  Del. Gustavo A. Madero 
C.P. 07870, México, D.F.  
Tel.  5739 1145  
direccion@geolyma.com.mx 
",9,Ciudad de México,5,Gustavo A. Madero,,Suelos contaminados con hidrocarburos; suelos contaminados con ácidos o bases; suelos contaminados con cianuro de sodio,"09-V-05-15
PRÓRROGA",1804,3/3/2015,3/3/2020,,"LAND-S
PILA-S 
EXVA-S 
BVAE-S 
LAND-LS
PILA-LS
OXIQ-LS  
LAVS-LS 
NEUQ-LS 
",
20,"RECON Servicios Ambientales, S. de R.L. de C.V.","Av. Miguel Angel de Quevedo No. 302 C 
Col. Romero de Terreros 
C.P. 04310, Del. Coyoacán, México, D.F. 
Tel. 55273 73 738  
jcb@solacorporation.com 
",9,Ciudad de México,3,Coyoacán,,"Suelos y materiales semejantes a suelos, contaminados con hidrocarburos",9-V-21-10,1605,9/3/2010,9/3/2020,,"LAND-S
PILA-LS
LAND-LS",
21,"CH2M Hill, S. de R.L. de C.V.","Av. Xola  No. 535  Piso 23 
Col. Del Valle 
C.P. 03100, Del. Benito Juárez, Distrito Federal 
Tel.  5999 04 00 
Fax  5999 04 10 
marcos.perez@ch2m.com
",9,Ciudad de México,14,Benito Juárez,,Suelos contaminados con hidrocarburos,09-V-37-10,"7180
0492",31/03/2010,31/03/2020,"Transferencia de autorización de Lockwood Greene de México, S.A. de C.V. a CH2M HILL, S.A. DE C.V.        Oficio DGGIMAR.710/007180      28 sep  2010","PILA-LS
EXVA-S
BVAE-S",
22,"Corporación Hidro Industrial, S.A. de C.V. ","Estenógrafos No. 38
Col. Sifón 
C.P. 09400, Del. Iztapalapa, D. F. 
Tels. 5633 2210 
rmujica@hidroindustrial.com.mx
",9,Ciudad de México,7,Iztapalapa,,Suelos contaminados con hidrocarburos,"09-V-17-15 
PÓRROGA",5224,23/06/2017,22/04/2020,"Se modificó la Autorización 09-V-17-15 PRÓRROGA, mediante oficio DGGIMAR.710/0005224 del 23 de junio de 2017, incluyéndose nos nuevas tecnologías 
OXIQ-LS y PILA-LS","EXVA-S
BVAE-S
LAND-LS
PILA-LS
OXIQ-LS",
23,"Ingenieros Asociados a Favor de la Industria y Ecología, L.F.A.J., S.A. de C.V.","Retorno 2  Av. 482  Mzna. 1 Lote 38
Col. Ex Ejido San Juan de Aragón 1ª. Sección 
C.P. 07940, Del. Gustavo A. Madero, México, D.F.
Tel./Fax  57 66 36 27 
consultoria.aife@gmail.com 
",9,Ciudad de México,5,Gustavo A. Madero,,"Suelos y materiales semejantes a suelos, contaminados con hidrocarburos",9-V-58-10,3233,3/5/2010,3/5/2020,,"PILA-LS
LAND-LS
OXIQ-LS
EXVA-S
DESO-LS","DESO-LS: 
DESORCIÓN TÉRMICA INDIRECTA A UN LADO DEL SITIO"
24,"International Products and Organic Solutions, S.A. de C.V.","Calle 1ª. Norte No. 253 
Col. Isidro Fabela 
C.P. 14030, Del. Tlalpan, D.F. 
Tel. 5605 46 30, 5330 6446 
info@ipos.com.mx
",9,Ciudad de México,12,Tlalpan,,"Suelos y materiales semejantes a suelos, contaminados con hidrocarburos; suelo contaminado con ácidos o bases","09-V-21-15
PRÓRROGA",4338,20/05/2015,20/05/2020,,"PILA-LS
LAND-LS
NEUQ-LS    ",
25,"Territorio y Medio Ambiente, S.A. de C.V.","Puebla No. 151 Desp. 11  Casa “L”, P.B.  
Col. Roma 
C.P. 06700, Del. Cuauhtémoc, Distrito Federal 
Tel.  5208 27 94, 5208 80 95 
tma@infosel.net.mx
",9,Ciudad de México,15,Cuauhtémoc,,"Suelos y materiales semejantes a suelos, contaminados con hidrocarburos",9-V-66-10,3868,24/05/2010,24/05/2020,,"PILA-LS
LAND-LS
BVAE-S",
26,"Constructora de Obra Pública, S.A. de C.V.","Camino al Desierto de los Leones No. 35  P-4 
Col. San Angel Inn 
C.P. 01000, Del. Álvaro Obregón, México, D.F.
Tel.   5481 18 00
Fax   5481 18 86
psanchez@coopsa.com.mx
",9,Ciudad de México,10,Álvaro Obregón ,,"Suelos y materiales semejantes a suelos, contaminados con hidrocarburos",9-V-85-10,5052,2/7/2010,2/7/2020,,LAND-LS,
27,"Befesa México, S. A. de C.V.","Bahía de Santa Bárbara  No. 174
Col. Verónica Anzures, Del. Miguel Hidalgo 
C.P. 11300, México, D.F.  
Tel.  52 62 71 11
Fax  52 62 71 40
befesa@abengoamexico.com.mx
",9,Ciudad de México,16,Miguel Hidalgo,,suelos contaminados con metales pesados (metales y metaloides); suelos contaminados con hidrocarburos,9-V-103-10,7189,28/09/2010,28/09/2020,Se MODIFICA la Autorización No. 9-V-103-10     Oficio DGGIMAR.710/000844 del 1 de febrero de 2012    y oficio DGGIMAR.710/007744 del 26 de octubre de 2012,"SOLI-LS
PILA-LS
LAND-LS
LAVS-LS
BVAE-S
EXVA-S","SOLI-LS: 
PARA METALES PESADOS (Cr VI, As, Be, Cd, Cr, Hg, Ni, Pb, Se, V, Tl)"
28,"Remediaciones, Mantenimiento y Tecnologías en Medio Ambiente REMTE, S.A. de C.V. ","Calle Maestro Rural Mz. 52 Lote 22 Col. Zona Escolar   Del. Gustavo A. Madero C.P. 07230 México, D.F.                 Tel. 5547530380 grupormt@gmail.com",9,Ciudad de México,5,Gustavo A. Madero,,"Suelos y materiales semejantes a suelos, contaminados con hidrocarburos",9-V-114-10  ,7557,14/10/2010,14/10/2020,,"PILA-S
LAND-S
PILA-LS
LAND-LS
OXIQ-LS
BVAE-S
EXVA-S",
29,"Flores y Ríos, S.A. de C.V. 
  ","Ignacio Altamirano 114-201-B, Col. San Rafael 
C.P. 06470, Del. Cuauhtémoc, Distrito Federal  
Tel./Fax  55352331 floresyrios@prodigy.net.mx",9,Ciudad de México,15,Cuauhtémoc,,"Suelos y materiales semejantes a suelos, contaminados con hidrocarburos",9-V-115-10  ,7756,25/10/2010,25/10/2020,,"BVAE-S
EXVA-S
LAVS-LS
LAND-S",
30,"Vidambiente, S.A. de C.V.","Indianápolis No. 7, Col. Nápoles 
C.P. 03810, Del. Benito Juárez, Distrito Federal  
Tel./Fax  5543 52 40, 5543 53 70
t.hernandez@vanruymbeke.com.mx
",9,Ciudad de México,14,Benito Juárez,,"Suelos y materiales semejantes a suelos, contaminados con hidrocarburos","9-V-54-15 
PRÓRROGA
",8110,30/10/2015,30/10/2020,,"PILA-LS
LAND-LS
BVAE-S
EXVA-S
OTR1-LS
OTR2-LS","OTR1-LS: BIORREMEDIACIÓN POR CO-COMPOSTEO A UN LADO DEL SITIO ;
OTR2-LS: 
EXTRACCIÓN DE VAPORES A UN LADO DEL SITIO"
31,"RR Servicios Ecológicos, S.A. de C.V.","Av. Paseos del Pedregal No. 639  
Col. Jardines del Pedregal 
C.P. 01900, Del. Álvaro Obregón, D.F.
Tel.  5568 77 69 y 5568 05 68 
sgarcia@side.com.mx
",9,Ciudad de México,10,Álvaro Obregón,,"Suelos y materiales semejantes a suelos, contaminados con hidrocarburos; suelos contaminados con ácidos o bases",9-V-17-11,1094,21/02/2011,21/02/2021,,"PILA-S
LAND-S
PILA-LS
LAND-LS
OXIQ-LS
NEUQ-LS
LAVS-LS
EXVA-S
DESO-LS
OTR1-LS
OTR2-LS                 ","OTR1-LS: PRETRATAMIENTO DE SUELOS AFECTADOS DE AGUA SALADA   OTR2-LS: 
FLUIDIZACION DE HIDROCARBUROS INTEMPERIZADOS Y SEMI INTEMPERIZADOS A UN LADO DEL SITIO"
32,"Grupo Corporativo Urbis, S. A. de C.V.","Av. Paseos del Pedregal No. 639  
Col. Jardines del Pedregal 
C.P. 01900, Del. Álvaro Obregón, D.F.
Tel.  5568 77 69 y 5568 05 68 
sgarcia@side.com.mx
",9,Ciudad de México,10,Álvaro Obregón,,"Suelos y materiales semejantes a suelos, contaminados con hidrocarburos; suelos contaminados con ácidos o bases",9-V-18-11,1093,21/02/2011,21/02/2021,,"PILA-S
LAND-S
PILA-LS
LAND-LS
OXIQ-LS
NEUQ-LS
LAVS-LS
EXVA-S
DESO-LS
OTR1-LS
OTR2-LS                 ","OTR1-LS: PRETRATAMIENTO DE SUELOS AFECTADOS DE AGUA SALADA               OTR2-LS: 
FLUIDIZACION DE HIDROCARBUROS INTEMPERIZADOS Y SEMI INTEMPERIZADOS A UN LADO DEL SITIO"
33,"ERM México, S.A. de C.V.","Mazatlán No. 96
Col. Condesa 
C.P. 06140, Del. Cuauhtémoc, Distrito Federal 
Tel.  (55) 5000 2500
Fax  (55) 5286 9759
omar.pineda@erm.com
",9,Ciudad de México,15,Cuauhtémoc,,Suelos contaminados con hidrocarburos ,9-V-27-11  ,2647,19/04/2011,19/04/2021,,"LAND-S
LAND-LS
PILA-LS
EXVA-S
BVAE-S",
34,"Geoambiente, S.A. de C.V.","Calle Nueva York No. 310 3er piso 
Col. Nápoles, C.P. 03810
Del. Benito Juárez, Distrito Federal
Tel.   5687 7100, 5687 3666 
Fax.  5536 8785
geoambiente@grupo-sacmag.com.mx
",9,Ciudad de México,14,Benito Juárez,,"Suelos y materiales semejantes a suelos, contaminados con hidrocarburos",9-V-39-11,4094,15/06/2011,15/06/2021,,"PILA-LS
OXIQ-LS
EXVA-S
BVAE-S",
35,"ATS Meridian de México, S.A. de C.V. ","Av. Popocatépetl (Eje 8 Sur) No. 415 Local 1
Col. Santa Cruz Atoyac, Del. Benito Juárez 
C.P. 03310, México, D.F.  
Tel.  5604 64 34
Fax  5601 41 59
atsmeridian@atsmeridian.com.mx
",9,Ciudad de México,14,Benito Juárez ,,Suelos contaminados con hidrocarburos,9-V-60-11,5381,11/8/2011,11/8/2021,,"BVAE-S
EXVA-S",
36,"Biomex Solutions, S.de R.L. de C.V.","Mexicali  No. 14
Col. Hipódromo, Del. Cuauhtémoc 
C.P. 06100, México, D.F.  
Tel./ Fax  85 96 50 76 
jorgefrodriguez@hotmail.com
",9,Ciudad de México,15,Cuauhtémoc ,,Suelos contaminados con hidrocarburos,9-V-61-11,5380,11/8/2011,11/8/2021,,"EXVA-S
BVAE-S
PILA-LS",
37,"Corporación Ambiental de México, S.A. de C.V.","Morena No. 1059 
Col. Narvarte,  C.P. 03020 
Del. Benito Juarez, Distrito Federal 
Tel.:  5538 07 27, Fax:  5538 46 93
gpantoja@cam-mx.com 
",9,Ciudad de México,14,Benito Juárez,,Suelos contaminados con hidrocarburos,"9-V-82-11
MODIFICACIÓN",7974,13/12/2016,18/11/2021,"Se modifica la Autorización No. 9-V-82-11, mediante oficio No. DGGIMAR.710/011038 del 13 de diciembre de 2016.","PILA-LS
EXVA-S","OTR1-S.
Oxidación química in situ bajo la modalidad del uso del persulfato de sodio para la remediación de suelo contaminado con hidrocarburos.
OTR2-S
Reducción química in situ bajo la modalidad del uso de hierro cero valente, arcilla, cemento tipo portland y agua para remediar suelo contaminado con compuestos orgánicos clorados."
38,"Servicios Intersec, S.A. de C.V.","Gobernador García Conde No. 28
Col. San Miguel Chapultepec, C.P. 11850 
Del. Miguel Hidalgo, Distrito Federal 
Tel.  5276 1100 
www.intersec.com.mx 
",9,Ciudad de México,16,Miguel Hidalgo,,"Suelos y materiales semejantes a suelos, contaminados con hidrocarburos",9-V-80-11,8022,18/11/2011,18/11/2021,,"PILA-LS
LAND-LS
OXIQ-LS
LAND-S
BVAE-S
EXVA-S",
39,"GMA Grupo de Construcción Ambiental, S.A. de C.V. ","Rosa Negra No. 153 Int. 3
Col. Molino de Rosas, C.P. 01470 
Del. Álvaro Obregón, Distrito Federal
Tel.  5651 66 99 
gma_ambiental@hotmail.com
",9,Ciudad de México,10,Álvaro Obregón ,,Suelos contaminados con hidrocarburos,09-V-13-12,2237,20/03/2012,20/03/2022,,"PILA-S
LAND-S
PILA-LS
LAND-LS
LAVS-LS
OXIQ-LS
EXVA-S
BVAE-S",
40,"Rosario Iturbe Argüelles 
","Paseo del Río No. 111- 48 
Col. Chimalistac 
C.P.  01070, Del. Álvaro Obregón, México, D.F.
Tel.  5623 3671
Fax  5616 1544
ria@pumas.iingen.unam.mx ",9,Ciudad de México,10,Álvaro Obregón ,,Suelos contaminados con hidrocarburos,09-V-16-12,2917,12/4/2012,12/4/2022,,"LAND-S
PILA-LS
LAND-LS
EXVA-S
BVAE-S",
41,"SISA  Servicios Industriales, S.A. de C.V.","Av. Obrero Mundial  No. 636 
Col.  Atenor Salas 
C.P.  03020,  Del. Benito Juárez, México, D.F.
Tel.  (55) 5440 4585, 5277 9698 
sisaserv@hotmail.com
",9,Ciudad de México,14,Benito Juárez,,"Suelos y materiales semejantes a suelos, contaminados con hidrocarburos",9-V-23-12,3897,24/05/2012,24/05/2022,Se modifica autorización No. 9-V-23-12 mediante oficio DGGIMAR.710/002900  del 7 de abril de 2014 por cambio de domicilio y de representante legal,"LAND-LS
LAND-S
PILA-LS
EXVA-S
BVAE-S
OXIQ-LS",
42,"Descubridora Kugo, S.A. de C.V. ","Diagonal San Antonio No. 1908  
Col. Narvarte 
C.P.  03020,  Del. Benito Juarez, México, D.F.
Tel.  5271 0105
kugosa@prodigy.net.mx
",9,Ciudad de México,14,Benito Juárez ,,"Suelos y materiales semejantes a suelos, contaminados con hidrocarburos",9-V-22-12,3896,24/05/2012,24/05/2022,,"LAND-LS
LAND-S 
PILA-LS
EXVA-S
BVAE-S
OXIQ-LS",
43,"TRG México, S. de R.L. de C.V. ","Canal de Miramontes  No. 1493  Planta Baja
Col. Country Club,   C.P.  04220 
Del. Coyoacán, México,  Distrito Federal  
Tel.   (55) 2621 1597
Fax.  (55) 2621 3930
trgmexico@yahoo.com.mx, oruiz@trgmexico.com.mx
",9,Ciudad de México,3,Coyoacán,,"Suelos y materiales semejantes a suelos, contaminados con hidrocarburos; suelos contaminados con ácidos ",9-V-27-12                 ,4247,1/6/2012,1/6/2022,,"LAND-S
PILA-LS
LAND-LS
NEUQ-LS
LAVS-LS
EXVA-S
BVAE-S                  ",
44,"Sistemas y Tecnología para el Medio Ambiente, S.A. de C.V.","Plan Político Social No. 5-A 
Col. San Lorenzo, C.P. 16018 
Del. Xochimilco, México, D.F. 
Tel. (55) 5678 26 56, 5554 07 60 62 
sistema8@prodigy.net.mx 
",9,Ciudad de México,13,Xochimilco,,Suelos contaminados con hidrocarburos,09-V-20-13,4309,3/6/2013,3/6/2023,,"LAND-LS 
EXVA-S
BVAE-S",
45,"Consultores Ambientales Etapa, S. C","Lázaro Cárdenas No. 820, Piso 3
Col. Portales, C.P. 03300
Del. Benito Juárez, Distrito Federal
Tel. (55) 5096 9551 y 5096 95 54
elechuga@caetapa.com",9,Ciudad de México,14,Benito Juárez,,Suelos contaminados con hidrocarburos,09-V-17-13,5631,22/07/2013,22/07/2023,,PILA-LS,
46,"Reind Química, S. de R.L. de C.V.","Eje 2 Norte Eulalia Guzmán No. 230
Col. Atlampa 
06450 Cuauhtémoc, Ciudad de México
Tel. 50-26-70-00
rrubio@stericycle.com
",9,Ciudad de México,15,Cuauhtémoc,,"Suelos y materiales semejantes a suelos, contaminados con hidrocarburos","27-V-17-14
MODIFICACION",8193,31/08/2016,5/3/2024,"Autorización No. 27-V-17-14 modificada por  DGGIMAR.710/009325 del 23-oct- 2014 para incluir los procesos LAND-FS, OXIQ-FS Y OTR1-FS;
autorización No. 27-V-17-14 modificada por DGGIMAR.710/008193 del 31-ago- 2016 por transferencia de autorización de corporativo INASA a Reind Quimica","OXIQ-LS
LAVS-LS
PILA-LS
LAND-FS
OXIQ-FS
OTR1-FS","OXIQ-FS/LAND-FS/OTR1-FS:
 EN LAS INSTALACIONES  UBICADAS EN  EL KM.  40 DE LA AUTOPISTA REFORMA-DOS BOCAS, RANCHERIA  BENITO JUÁREZ 2DA. SECCIÓN,  JALPA DE MÉNDEZ, TABASCO.  OTR1-LS: PRETRATAMIENTO DE SEPARACION DE FASES (SECADOR VERTICAL-CENTRIFUGADO)"
47,GEOZIMA Ambiental S.A. de C.V.,"Av. Monterrey No. 326 int.3
Col. Roma sur
C.P. 06760 Del. Cuauhtémoc
México, D.F.
tel (55)57500514, 57503517
geoenzima@geoenzima.com",9,Ciudad de México,15,Cuauhtémoc,,"Suelos y materiales semejantes a suelos, contaminados con hidrocarburos",09-V-34-14,4730,4/6/2014,4/6/2024,,"PILA-LS
EXVA-S",
48,Hesari S.C.,"Av. Insurgentes Norte No. 114
Col. Santa María La Ribera,  Del. Cuauhtémoc
C.P. 06400, México, D.F.  
Tel. (55) 5547 1772 
Fax (55) 2630 1409
dirección@hesari.com.mx 
",9,Ciudad de México,15,Cuauhtémoc,,Suelos contaminados con hidrocarburos; suelos contaminados con ácidos o bases; suelos contaminados con cianuro de sodio,09-V-07-15,3859,22/04/2015,22/04/2025,,"LAND-S
PILA-S 
EXVA-S 
BVAE-S 
LAND-LS
PILA-LS
OXIQ-LS  
LAVS-LS 
NEUQ-LS ",
49,"Constructora 21 de Abril, SA de CV ","Francia No 171 Col Florida,  México, D.F.",9,Ciudad de México,10,Álvaro Obregón,"3,300 m3/mes",Lodos aceitosos acumulados en obras e instalaciones de Pemex,9-1-PS-V-05-94,"DGNA 5693
",11/7/1994,Vigencia indefinida,,OTR1-LS,"OTR1-LS:
Precipitación química y separación física de las fases sólida y líquida por centrifugación y filtración"
50,"Constructora y Arrendadora Gandara, SA de CV ","Francia No 171 Col Florida, México, D.F.",9,Ciudad de México,10,Álvaro Obregón,"3,300 m3/mes",Lodos aceitosos acumulados en obras e instalaciones de Pemex,9-1-PS-V-04-94,"DGNA 5691
",11/7/1994,Vigencia indefinida,,OTR1-LS,"OTR1-LS: 
Precipitación química y separación física de las fases sólida y líquida por centrifugación y filtración"
