i>>?Entidad federativa,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,TMCA,2013,2014,2015,Tratamiento en sitios no controlados mA!s reciclaje Miles de Toneladas,Porcentaje del Total
Puebla,"1,386.65","1,422.69","1,460.00","1,504.00","1,548.00","1,593.00","1,664.00","1,736.00","1,770.00","1,815.88","1,856.03","1,894.35",3.5259,1961.14,2030.29,2101.88,284.9,15.04
QuerA(c)taro,431.86,446.58,463.55,489,504,518,548,562,577,618.68,642.4,666.13,5.1589,700.49,736.63,774.63,103.71,15.57
Quintana Roo,285.14,301.19,317.55,336,352,369,407,425,442,452.6,470.85,487.28,5.7184,515.14,544.6,575.74,0,0
San Luis PotosA,592.74,604.43,616.85,631,646,657,703,714,726,757.38,777.45,793.87,3.8572,824.49,856.29,889.32,132.24,16.66
Sinaloa,776.35,790.66,806.65,861,872,889,878,887,902,947.18,969.08,989.15,2.1579,1010.5,1032.3,1054.58,158.75,16.05
Sonora,675.75,689.22,704.45,767,785,803,816,832,847,905.2,934.4,961.77,3.6743,997.11,1033.75,1071.73,506.46,52.66
Tabasco,536.24,549.46,562.1,591,602,617,619,628,639,702.63,726.35,748.25,3.9327,777.68,808.26,840.05,478.12,63.9
Tamaulipas,877.75,902.69,930.75,"1,011.00","1,038.00","1,068.00","1,071.00","1,095.00","1,121.00","1,158.88","1,188.08","1,215.45",2.6203,1247.3,1279.98,1313.52,80.94,6.66
Tlaxcala,236.69,243.36,248.2,266,274,279,286,294,307,321.2,330.33,339.45,4.0002,353.03,367.15,381.84,45.51,13.41
Veracruz,"1,754.33","1,779.58","1,806.75","1,914.00","1,928.00","1,952.00","2,011.00","2,035.00","2,070.00","2,197.30","2,252.05","2,301.32",3.3474,2378.35,2457.97,2540.24,"1,267.78",55.09
YucatA!n,449.18,459.52,470.85,496,509,522,551,562,573,591.3,605.9,620.5,3.5176,642.33,664.92,688.31,242.23,39.04
Zacatecas,314.69,317.98,321.2,347,347,350,359,363,372,403.33,414.28,425.22,3.9703,442.1,459.65,477.9,155.83,36.65
Nacional,"31,488.51","32,173.60","32,915.70","34,604.00","35,405.00","36,135.00","36,865.00","37,595.00","38,325.00","40,058.75","41,062.50","42,102.75",3.1042,43409.72,44757.25,46146.62,"10,779.36",25.6
