i>>?    #    ,RAZON SOCIAL,CALLE Y NAMERO,COLONIA,MUNICIPIO,CADIGO POSTAL,ESTADO,No. LICENCIA,FECHA  LICENCIA,CLASIFICACION O GIRO,LINEAS AUTORIZADAS
16,AGROESTIMULANTES MEXICANOS S.A. DE C.V.,ALDAMA No. 12,SAN ANTONIO,TEPEZALA,20630,AGUASCALIENTES,10NV010090006,17/May/2012,FABRICACION DE FERTILIZANTES (NUTRIENTES VEGETALES),FORMULACION FERTILIZANTES LIQUIDOS Y SOLIDOS Y MEJORADORES DE SUELO LIQUIDOS Y REGULADORES DE CRECIMIENTO SOLIDOS.
17,AGROFORMULADORA DELTA S.A. DE C.V.,PARQUE INDUSTRIAL LOTE 3 MANZANA 3,DR. GONZALEZ,GARZA GARCIA,66600,NUEVO LEON,94139,,FORMULACION Y COMPRAVENTA DE PLAGUICIDAS,No disponible (ESPECIFICADO EN LA CLASIFICACION O GIRO)
18,AGROGEN S.A. DE C.V.,CARRETERA A TLACOTE EL BAJO KM 5.5,,QUERETARO,,QUERETARO,96021,,"FABRICA DE FERTILIZANTES, MEJORADORES DE SUELO E INOCULANTES",No disponible (ESPECIFICADO EN LA CLASIFICACION O GIRO)
19,AGRO-GROW DE MEXICO S.A. DE C.V.,CARR. A CHICHIMEQUILLAS KM 8.1,SAN JOSE EL ALTO,QUERETARO,76138,QUERETARO,06FPNV220140003,12/Jan/2006,FORMULACION DE PLAGUICIDAS Y NUTRIENTES VEGETALES,"FERTILIZANTES (LIQUIDOS Y SOLIDOS), REGULADORES DE CRECIMIENTO (LIQUIDOS Y SOLIDOS), INOCULANTES LIQUIDOS, MEJORADORES DE SUELO LIQUIDOS, FUNGICIDAS (POLVOS HUMECTABLES), RODENTICIDAS (PELLETES Y GEL), INSECTICIDAS (JABONES, SHAMPOO, PASTAS, POLVOS HUMECT"
20,AGROINDUSTRIAS DEL BALSAS S.A. DE C.V.,ISLA DE ENMEDIO S/N,INTERIOR RECINTO PORTUARIO,LAZARO CARDENAS,60950,MICHOACAN,08NV160520007,07/Jul/2008,"FABRICACION, FORMULACION, MEZCLA O ENVASADO DE NUTRIENTES VEGETALES",FABRICACION DE FERTILIZANTES SOLIDOS Y LIQUIDOS
21,AGROMAQUILAS S.A. DE C.V.,"ORIENTE 3, ZONA ORIENTE LOTE 45",PARQUE INDUSTRIAL ATITALALQUIA,ATITALAQUIA,42970,HIDALGO,06FP130100001,26/May/2006,FORMULACION DE PLAGUICIDAS,"FORMULACION DE INSECTICIDAS, FUNGICIDAS Y HERBICIDAS SOLIDOS Y LIQUIDOS"
22,AGROMAXIO S.A. DE C.V.,LIBRAMIENTO SUR Km. 0.700,CARRETERA SALAMANCA- CELAYA,SALAMANCA,36880,GUANAJUATO,11PNV110270028,09/Mar/2011,"FABRICACION, FORMULACION, MEZCLA O ENVASADO DE NUTRIENTES VEGETALES Y PLAGUICIDAS",FORMULACION Y ENVASADO DE INSECTICIDAS Y HERBICIDAS LIQUIDOS Y ENVASADO DE FERTILIZANTES LIQUIDOS
23,AGROMUNDO S.A. DE C.V.,CIPRES NO 30,VIVEROS DE XALOSTOC,ECATEPEC DE MORELOS,55340,MAXICO,03FP150330002,30/Jun/2003,"FORMULACION, MEZCLA O ENVASADO DE PLAGUICIDAS",PLAGUICIDAS LIQUIDOS Y SOLIDOS
24,AGRONITROGENADOS S.A. DE C.V.,CALLE 12,COMPLEJO INDUSTRIAL PAJARITOS,COATZACOALCOS,,VERACRUZ,94077,,FABRICACION DE FERTILIZANTES NITROGENADOS,No disponible (ESPECIFICADO EN LA CLASIFICACION O GIRO)
25,AGRONOVA S.A. DE C.V.,EXTRAMUROS No. 4,SAN ISIDRO MAZATEPEC,TALA,45340,JALISCO,05FP140830008,21/Sep/2005,FORMULACION DE PLAGUICIDAS.,"FORMULACION DE HERBICIDAS, FUNGICIDAS E INSECITICIDA-ACARICIDAS (LIQUIDOS Y SOLIDOS),  FORMULACION DE COADYUVANTES LIQUIDOS Y FORMULACION DE FUMIGANTES SOLIDOS"
26,AGRONUTRIENTES DEL NORTE S.A. DE C.V.,CARR. A COLOMBIA KM 7.2,ANDRES CABALLERO,GENERAL ESCOBEDO,66050,NUEVO LEON,06FNV190210001,12/Jan/2006,FORMULACION DE NUTRIENTES VEGETALES,FERTILIZANTES LIQUIDOS Y SOLIDOS
27,AGRONUTRIENTES DEL NORTE S.A. DE C.V.,CARRETERA COLOMBIA KM 7.2,ANDRES CABALLERO,GENERAL ESCOBEDO,66050,NUEVO LEON,06FP190210003,09/Jun/2006,FORMULACION DE PLAGUICIDAS,INSECTICIDAS Y ACARICIDAS LIQUIDOS Y ANTIMICROBIANOS SOLIDOS
28,AGROORGANICOS SAN JOSA S.P.R. DE R.I.,"ANTES DE LLEGAR A MAYOCOBA, MAYOCOBA",SC,AHOME,81300,SINALOA,13PNV2500119,29/Aug/2013,"FABRICACION DE PESTICIDAS Y OTROS AGROQUIMICOS, EXCEPTO FERTILIZANTES (SOLO PLAGUICIDAS) Y FABRICACIAN DE FERTILIZANTES (NUTRIENTES VEGETALES)","FORMULACIAN DE FUNGICIDAS E INSECTICIDAS DE ORIGEN BOTANICO, MICROBIAL O MISCELANEO LAQUIDOS. FORMULACIAN DE FERTILIZANTES ORGANICOS E INORGANICOS LAQUIDOS Y REGULADORES DE CRECIMIENTO LAQUIDOS."
29,AGROPRODUCTOS IBANAVA S.A. DE C.V.,ALDAMA 660,LA PALMITA,TECOMAN,28100,COLIMA,08P060090002,15/Feb/2008,"FABRICACION, FORMULACION, MEZCLA O ENVASADO DE PLAGUICIDAS",FORMULACION DE INSECTICIDAS SOLIDOS
30,AGROQUIMICA DE URUAPAN S.A.,GRAN PARADA No 532,LA MAGDALENA,URUAPAN,60080,MICHOACAN,94117,,"FORMULACION Y MEZCLA DE INSECTICIDAS, COMPRAVENTA DE LOS MISMOS Y DE FERTILIZANTES Y HERBICIDAS",No disponible (ESPECIFICADO EN LA CLASIFICACION O GIRO)
31,AGROQUIMICA TRIDENTE S.A. DE C.V. (PLANTA OZUMBILLA),KM 34.5 CARRETERA FEDERAL A PACHUCA,OZUMBILLA,TECAMAC,55760,MAXICO,09PNV150810024,10/Mar/2009,"FABRICACION, FORMULACION, MEZCLA O ENVASADO DE NUTRIENTES VEGETALES Y PLAGUICIDAS","FORMULACION DE FERTILIZANTES LIQUIDOS Y SOLIDOS E INSECTICIDAS LIQUIDOS, INSECTICIDAS-ACARICIDAS LIQUIDOS"
32,AGROQUIMICA TRIDENTE S.A. DE C.V.(PLANTA TEPOJACO),CAMINO A LAS DILIGENCIAS S/N,LAS PIEDRAS TEPOJACO,TIZAYUCA,43800,HIDALGO,07P130690003,09/Jul/2008,"FABRICACION, FORMULACION, MEZCLA O ENVASADO DE PLAGUICIDAS","FORMULACION DE INSECTICIDAS E INSECTICIDAS-ACARICIDAS (SALIDOS Y LAQUIDOS) Y ENVASADO DE FUNGICIDAS, INSECTICIDAS E INSECTICIDAS- ACARICIDAS (SALIDOS Y LAQUIDOS)"
33,AGROQUIMICOS EL MILENIO S. DE R.L. DE C.V.,CAMINO A SANTA ROSA NO. 145,SANTA ROSA,URUAPAN,60190,MICHOACAN,13NV1610209,03/Apr/2013,FABRICACION DE FERTILIZANTES (NUTRIENTES VEGETALES),MEZCLAS FISICAS DE FERTILIZANTES SOLIDOS.
34,AGROQUIMICOS RIVAS S.A. DE C.V.,CARRETERA CELAYA-CORTAZAR KM 2,,CELAYA,38000,GUANAJUATO,94130,,FORMULADORA Y COMPRAVENTA DE PLAGUICIDAS,No disponible (ESPECIFICADO EN LA CLASIFICACION O GIRO)
35,AGROQUIMICOS VERSA  S.A. DE C.V.,ALFONSO GOMEZ TORRES No. 160,CIUDAD INDUSTRIAL,TORREON,27019,COAHUILA,05PNV050350002,10/Oct/2012,"FABRICACION DE FERTILIZANTES (NUTRIENTES VEGETALES) FABRICACION DE PESTICIDAS Y OTROS AGROQUIMICOS, EXCEPTO FERTILIZANTES (SOLO PLAGUICIDAS)","FORMULACION DE FUNGICIDAS, INSECTICIDAS, ACARICIDAS SOLIDOS Y LIQUIDOS, HERBICIDAS FERTILIZANTES, MEJORADORES DE SUELO LIQUIDOS, REGULADORES DE CRECIMIENTO SOLIDOS Y LIQUIDOS."
36,AGROQUIMICOS Y EQUIPOS S. A. DE C. V.,NORTE 5 S/N,CIUDAD INDUSTRIAL,MATAMOROS,87499,TAMAULIPAS,07PNV280220006,06/Sep/2007,"FABRICACION, FORMULACION, MEZCLA O ENVASDO DE PLAGUCIDAS DE NUTRIENTES VEGETALES Y PLAGUICIDAS","FORMULACION DE FUNGICIDAS, INSECTICIDAS, INSECTICIDAS-ACARICIDAS, ACARICIDAS Y HERBICIDAS LIQUIDOS Y SOLIDOS Y ENVASADO DE FERTILIZANTES Y REGULADORES DE CRECIMIENTO LIQUIDOS"
37,AGROSANIDAD S.A. DE C.V.,CARRETERA INTERNACIONAL 15 KM 6+800,ZONA INDUSTRIAL JIQUILPAN,AHOME,81255,SINALOA,16PNV2500105,22/Mar/2016,"FABRICACIAN DE FERTILIZANTES (NUTRIENTES VEGETALES) FABRICACION DE PESTICIDAS Y OTROS AGROQUIMICOS, EXCEPTO FERTILIZANTES (SALO PLAGUICIDAS)","FORMULACIAN DE HERBICIDAS E INSECTICIDAS DE ORIGEN BOTANICO LAQUIDOS. FORMULACIAN DE FUNGICIDAS LAQUIDOS.
FORMULACIAN DE MEJORADOR DE SUELO, REGULADORES DE CRECIMIENTO LAQUIDO Y SALIDOS.
FORMULACIAN DE FERTILIZANTES DE ORIGEN QUAMICO LAQUIDOS FORMULACIAN DE FERTILIZANTES ORGANICOS SALIDOS."
38,AGROSOLARIS S.A. DE C.V.,LADO NORTE TERMO 3839,OBRERA,SALAMANCA,36750,GUANAJUATO,08NV110270019,04/Dec/2012,FABRICACION DE FERTILIZANTES (NUTRIENTES VEGETALES),FABRICACION DE FERTILIZANTES LIQUIDOS Y FORMULACION DE MEJORADORES DE SUELO LIQUIDOS.
39,AGROTECNOLOGIA NATURAL S.A. DE C.V.,RIO AMACUZAC 1452,QUINTA VELARDE,GUADALAJARA,44430,JALISCO,08PNV140390012,30/Jan/2008,"FABRICACION, FORMULACION, MEZCLA O ENVASADO DE NUTRIENTES VEGETALES Y PLAGUICIDAS","FORMULACION DE FUNGICIDAS LIQUIDOS, INSECTICIDAS LIQUIDOS Y FERTILIZANTES LIQUIDOS"
40,"AGROTEY DE MEXICO, S.A. DE C.V.",AVENIDA JIQUILPAN SUR # 49,LOS ALAMOS,ZAMORA,59863,MICHOACAN,14 NV 16 108 0028,02/Dec/2014,FABRICACIAN DE FERTILIZANTES (NUTRIENTES VEGETALES),"FORMULACIAN FERTILIZANTES LAQUIDOS, HUMECTANTES LAQUIDOS, REGULADORES DE CRECIMIENTO LAQUIDOS, MEJORADORES DE SUELO LAQUIDOS"
41,AGUSTIN ARGENTIN S.A. DE C.V.,GOBERNADOR CURIEL No. 1647,MORELOS,GUADALAJARA,44440,JALISCO,06FP140390002,12/Jan/2006,FORMULACION DE PLAGUICIDAS,FORMULACION DE INSECTICIDAS SOLIDOS
42,ALGAS Y BIODERIVADOS MARINOS S.A. DE C.V.,DIEZ No. 384,PARQUE INDUSTRIAL FONDEPORT,ENSENADA,22760,BAJA CALIFORNIA,11NV020010006,28/Nov/2011,FABRICACION DE FERTILIZANTES (NUTRIENTES VEGETALES),FORMULACIAN DE FERTILIZANTES LAQUIDOS
43,ALGAS Y EXTRACTOS DEL PACIFICO NORTE AEP S.A. DE C.V.,PROLONGACION RIO GRIJALVA 1034,PROLONGACION RIO GRIJALVA 1034,,22890,BAJA CALIFORNIA,13NV0200106,20/Mar/2013,FABRICACION DE FERTILIZANTES (NUTRIENTES VEGETALES),FORMULACIAN DE FERTILIZANTES LAQUIDOS
44,ALMACENAJES Y MANIOBRAS INTEGRALES DEL GOLFO S.A. DE C.V.,Km. 2 CARR. FED. PASO DEL TORO-SAN JULIAN (BODEGAS GRUPO AMIGO),SANTA FE,VERACRUZ,91690,VERACRUZ,13NV3019331,30/Oct/2013,FABRICACIAN DE FERTILIZANTES (NUTRIENTES VEGETALES),MEZCLAS FISICAS DE FERTILIZANTES QUAMICOS SOLIDOS.
45,"ALTUS BIOPHARM, S.A. DE C.V.",AV. PASEO DEL VALLE No. 5065,FRACCIONAMIENTO GUADALAJARA TECHNOLOGY PARK,ZAPOPAN,45010,JALISCO,16 PNV 14 120 05,18/Mar/2016,"FABRICACIAN DE FERTILIZANTES (NUTRIENTES VEGETALES) FABRICACION DE PESTICIDAS Y OTROS AGROQUIMICOS, EXCEPTO FERTILIZANTES (SALO PLAGUICIDAS)","FORMULACIAN DE FUNGICIDAS, INSECTICIDAS Y BACTERICIDAS MICROBIANOS E INSECTICIDAS BOTANICOS LAQUIDOS, FERTILIZANTES INORGANICOS Y ORGANICOS, MEJORADORES DE SUELO, REGULADORES DE CRECIMIENTO E INOCULANTES LAQUIDOS."
46,ANALISIS AMBIENTALES E INSUMOS S.A. DE C.V.,FRESNOS No. 151,ARBOLEDAS,SALTILLO,25200,COAHUILA,09PNV050300013,28/Oct/2009,"FABRICACIAN, FORMULACIAN, MEZCLA O ENVASADO DE NUTRIENTES VEGETALES Y PLAGUICIDAS","FORMULACIAN DE FUNGICIDAS E INSECTICIDAS SALIDOS Y LAQUIDOS, FERTILIZANTES Y MEJORADORES DE SUELO LAQUIDOS"
47,AP FERTILIZANTES FOLIARES S.A. DE C.V.,CALLE TOPIA NO. 408 BIS,PARQUE INDUSTRIAL GOMEZ PALACIO,GOMEZ PALACIO,35078,DURANGO,13NV1000712,22/May/2013,FABRICACIAN DE FERTILIZANTES (NUTRIENTES VEGETALES),FORMULACION DE FERTILIZANTES LIQUIDOS
48,APELSA GUADALAJARA S.A. DE C.V.,PROLOG. PINO SUAREZ S/N,SAN GASPAR,TONALA,45400,JALISCO,08NV141010014,21/Oct/2008,"FABRICACION, FORMULACION, MEZCLA Y ENVASADO DE NUTRIENTES VEGETALES",FORMULACION DE FERTILIZANTES SOLIDOS Y LIQUIDOS
49,AQUACHEM DE MEXICO S.A. DE C.V.,INDEPENDENCIA 100,RIVERA DE GUADALUPE,IRAPUATO,36827,GUANAJUATO,08NV110170023,28/Jan/2015,"FABRICACION, FORMULACION, MEZCLA O ENVASADO DE NUTRIENTES VEGETALES",FORMULACION DE FERTILIZANTES LIQUIDOS Y SOLIDOS
50,ARLINGTON S. DE R.L.,AV. 16 DE SEPTIEMBRE NO 560,FRACC. INDUSTRIAL ALCE BLANCO,NAUCALPAN DE JUAREZ,53370,MAXICO,03FP150570006,11/Dec/2003,"FORMULACION, MEZCLA O ENVASADO DE PLAGUICIDAS",ASUNTOL JABON
51,ARMANDO ARGENTIN GRANT,CALLE 6-A NO. 1953,FERROCARRIL,GUADALAJARA,44440,JALISCO,05FP140390007,01/Sep/2005,FORMULACION DE PLAGUICIDAS,FORMULACION DE INSECTICIDAS POLVO Y GEL
52,ARVENSIS S.A. DE C.V.,CALLE SIN NOMBRE EJIDO DE CALACOAYA PARCELA 29Z - 1P1/1,SANTA JUANA SEGUNDA SECCION,ALMOLOYA DE JUAREZ,50920,ESTADO DE MEXICO,15 PNV 15 005 025,07/Dec/2015,"FABRICACIAN DE FERTILIZANTES (NUTRIENTES VEGETALES) FABRICACION DE PESTICIDAS Y OTROS AGROQUIMICOS, EXCEPTO FERTILIZANTES (SALO PLAGUICIDAS)","FORMULACIAN DE FUNGICIDAS Y BACTERICIDAS LAQUIDOS, FUNGICIDAS Y NEMATICIDAS BOTANICOS LAQUIDOS, FERTILIZANTES INORGANICOS Y FERTILIZANTES ORGANO-MINERALES LAQUIDOS, INOCULANTES SALIDOS Y REGULADORES DE CRECIMIENTO LAQUIDOS."
53,"ATSAQUIMIA INDUSTRIAL, S.A. DE C.V., S.A. DE C.V.",LORCA No. 9,CERRO DE LA ESTRELLA,IZTAPALAPA,09860,CIUDAD DE MEXICO,09NV090090013,30/Mar/2016,FABRICACIAN DE FERTILIZANTES (NUTRIENTES VEGETALES),"FORMULACIAN DE FERTILIZANTES LAQUIDOS, REGULADORES DE CRECIMIENTO ORGANICOS (TIPO I) Y ENVASADO DE FERTILIZANTES SALIDOS."
54,AZUL NATURAL S.A. DE C.V.,TERESA ARRATIA No. 104-A,AZTECA,DURANGO,34190,DURANGO,11PNV100050004,07/Dec/2011,"FABRICACION, FORMULACION, MEZCLA O ENVASADO DE NUTRIENTES VEGETALES Y PLAGUICIDAS","FORMULACION DE FERTILIZANTES, INOCULANTES, FUNGICIDAS, INSECTICIDAS Y BACTERICIDAS LIQUIDOS."
55,AZUMOR S.A. DE C.V.,PINTORES 245,PARQUE INDUSTRIAL IMPULSO,SAN LUIS POTOSI,78395,SAN LUIS POTOSI,13P2402818,06/Aug/2013,"FABRICACION DE PESTICIDAS Y OTROS AGROQUIMICOS, EXCEPTO FERTILIZANTES (SOLO PLAGUICIDAS)",FORMULACION DE FUNGICIDAS DE ORIGEN QUIMICO (LIQUIDOS)
56,BAJA AGRO INTERNATIONAL S.A. DE C.V.,Km. 94.5 CARRETERA ENSENADA SAN FELIPE,RANCHO LOS POCITOS,ENSENADA,22771,BAJA CALIFORNIA,13NV020010008,10/Jan/2013,FABRICACION DE FERTILIZANTES (NUTRIENTES VEGETALES),FORMULACIAN DE MEJORADORES DE SUELO LAQUIDOS.
57,BAYEM S.A. DE C.V.,AV. ISIDRO FABELA S/N,PARQUE INDUSTRIAL,SANTIAGO TIANGUISTENCO,,MAXICO,94AR088E,,,No disponible (ESPECIFICADO EN LA CLASIFICACION O GIRO)
58,BAYER DE MEXICO S.A. DE C.V.,AUTOPISTA SAN MARTIN TEXMELUCAN-TLAXCALA Km. 6.5,SAN FELIPE  IXTACUIXTLA,IXTACUIXTLA DE MARIANO MATAMOROS,90120,TLAXCALA,16PNV2901518,01/Aug/2016,"FABRICACIAN DE FERTILIZANTES (NUTRIENTES VEGETALES) FABRICACION DE PESTICIDAS Y OTROS AGROQUIMICOS, EXCEPTO FERTILIZANTES (SALO PLAGUICIDAS)","FABRICACIAN Y FORMULACIAN DE FUNGICIDAS, INSECTICIDAS, NEMATICIDAS, BACTERICIDAS, ACARICIDAS Y HERBICIDAS MICROBIANOS SALIDOS Y LAQUIDOS; INOCULANTES, REGULADORES DE CRECIMIENTO Y MEJORADORES DE SUELO ORGANICOS SALIDOS Y LAQUIDOS."
59,BAYER DE MEXICO S.A. DE C.V.,VIA MORELOS No. 330-E,SANTA CLARA,ECATEPEC DE MORELOS,,MAXICO,95AR025E,,"FABRICA DE PRODUCTOS QUIMICOS, TOXICOS Y/O PELIGROSOS, FABRICA DE PLAGUICIDAS",No disponible (ESPECIFICADO EN LA CLASIFICACION O GIRO)
60,BERNI LABS S. DE R.L. MICROINDUSTRIAL,LIENZO NO. 401,VISTA ALEGRE,AGUASCALIENTES,,AGUASCALIENTES,02P010001,05/Sep/2002,MEZCLA DE INSECTICIDAS Y PLAGUICIDAS. EXCLUSIVAMENTE PARA PRODUCTOS REGISTRADOS POR EL TITULAR DE LA LICENCIA SANITARIA O PRODUCTOS MAQUILADOS PARA UN TERCERO QUE CUENTE CON REGISTRO DEL PRODUCTO ANTE LA CICOPLAFEST,No disponible (ESPECIFICADO EN LA CLASIFICACION O GIRO)
60,BIO AGROFERT S. DE R.L. DE C.V.,Km.   1   CARR.   SAN   JUAN   -   LAGOS   DE   MORENO ENTRONQUE   CARRETERA   A   SAN   SEBASTIAN   EL ALAMO,CORRALILLOS,SAN JUAN DE LOS LAGOS,47000,JALISCO,15NV1407319,09/Sep/2015,FABRICACIAN DE FERTILIZANTES (NUTRIENTES VEGETALES),ACONDICIONAMIENTO   Y   ENVASADO   DE   FERTILIZANTES   Y   MEJORADORES   DE SUELO DE ORIGEN ORGANICO SOLIDOS.
61,BIO AGROFERT S. DE R.L. DE C.V.,Km. 6 CARR. SAN JUAN - GUADALAJARA,RANCHO LA JARA,SAN JUAN DE LOS LAGOS,47000,JALISCO,15NV1407305,05/Feb/2015,FABRICACIAN DE FERTILIZANTES (NUTRIENTES VEGETALES),"FORMULACION   DE   FERTILIZANTES   Y   MEJORADORES   DE   SUELO   DE   ORIGEN ORGANICO SOLIDOS, SALO A GRANEL (SIN ACONDICIONAMIENTO)."
62,BIO LIQHUM S.A. DE C.V.,CARRETERA A NAVOJOA - ALAMOS KM 15,GRANJA BIO LIQHUM,NAVOJOA,85800,SONORA,13NV2604208,31/Mar/2014,FABRICACION DE FERTILIZANTES (NUTRIENTES VEGETALES),FERTILIZANTES Y MEJORADORES DE SUELO SOLIDOS Y LIQUIDOS DE ORIGEN ORGANICO
