i>>?CLAVE,SITIO,,,,,O_CUENCA,,,ESTADO,,,CUENCA,,,C_AGUA,,,SUBTIPO
OCGCE3227M1,PLAYA CHACHALACAS,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO ACTOPAN,,,PLAYA CHACHALACAS,,,OCEANO-MAR
OCGCE3442,PLAYA COATZACOALCOS (ASTA BANDERA),,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,LLANURAS DEL COATZACOALCOS,,,PLAYA COATZACOALCOS,,,OCEANO-MAR
OCGCE3425,PRESA LA CANGREJERA,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO HUAZUNTLAN,,,PRESA LA CANGREJERA,,,PRESA
OCGCE3168,PRESA TUXPANGO 2,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO TONTO,,,PRESA TUXPANGO (RIO BLANCO),,,PRESA
OCGCE3450,PUENTE COATZACOALCOS I,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO HUAZUNTLAN,,,PUENTE COATZACOALCOS I,,,ESTUARIO
OCGCE3237,PUNTILLA ALDAMA,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO NAUTLA,,,PUNTILLA ALDAMA,,,RIO
OCGCE3217,PASO VALENCIA,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO TECOLUTLA,,,RIO  TECOLUTLA,,,RIO
OCGCE3218,PUENTE REMOLINO,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO TECOLUTLA,,,RIO  TECOLUTLA,,,RIO
OCGCE3303,PUENTE URSULO GALVAN,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO ACTOPAN,,,RIO ACTOPAN,,,RIO
OCGCE3305,EL LIMONCITO,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO ACTOPAN,,,RIO ACTOPAN,,,RIO
OCGCE3466,EL DESCABEZADERO,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO ACTOPAN,,,RIO ACTOPAN,,,RIO
OCGCE3398,ATOYAC (INGENIO),,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO COTAXTLA,,,RIO ATOYAC,,,RIO
OCGCE3162,SAN ANTONIO II,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO TONTO,,,RIO BLANCO,,,RIO
OCGCE3164,PRESA TUXPANGO,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO TONTO,,,RIO BLANCO,,,PRESA
OCGCE3165,SAN ANTONIO I,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO TONTO,,,RIO BLANCO,,,RIO
OCGCE3166,CD. MENDOZA,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO TONTO,,,RIO BLANCO,,,RIO
OCGCE3167,CAMPO CHICO,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO TONTO,,,RIO BLANCO,,,RIO
OCGCE3169,CUICHAPA AGUAS ARRIBA,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO TONTO,,,RIO BLANCO,,,RIO
OCGCE3170,PUENTE CUAUHTEMOC (HUILOAPAN),,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO TONTO,,,RIO BLANCO,,,RIO
OCGCE3171,OMEALCA (PASO DE ROSARIO),,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO TONTO,,,RIO BLANCO,,,RIO
OCGCE3173,LA TINAJA (PUENTE),,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO TONTO,,,RIO BLANCO,,,RIO
OCGCE3362,RIO BLANCO (MATATENATITOS),,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO TONTO,,,RIO BLANCO,,,RIO
OCGCE3366,XUCHILES,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO TONTO,,,RIO BLANCO,,,RIO
OCGCE3370,ZAPOAPAN (ARRIBA CONFLUENCIA METLAC),,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO TONTO,,,RIO BLANCO,,,RIO
OCGCE3379,ARROYO TOTOLITOS,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO TONTO,,,RIO BLANCO,,,ARROYO
OCGCE3380,ARROYO CALIENTE,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO TONTO,,,RIO BLANCO,,,ARROYO
OCGCE3383,PUENTE IXTAC VIEJO,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO TONTO,,,RIO BLANCO,,,RIO
OCGCE3386,RIO BLANCO (COMPUERTA ARROYO LA CARBONERA),,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO TONTO,,,RIO BLANCO,,,RIO
OCGCE3387,PUENTE MALINTZI EN SIVESA,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO TONTO,,,RIO BLANCO,,,RIO
OCGCE3388,ARROYO CHIQUITO (LAGUNA NOGALES),,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO TONTO,,,RIO BLANCO,,,ARROYO
OCGCE3395,LA TAZA,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO TONTO,,,RIO BLANCO,,,RIO
OCGCE3433,RIO BLANCO (ABAJO ARROYO CALIENTE),,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO TONTO,,,RIO BLANCO,,,RIO
OCGCE3232,PUENTE NAUTLA,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO NAUTLA,,,RIO BOBOS,,,RIO
OCGCE3235,PANGA JICALTEPEC,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO NAUTLA,,,RIO BOBOS,,,RIO
OCGCE3236,EL PITAL,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO NAUTLA,,,RIO BOBOS,,,RIO
OCGCE3239,FELIPE CARRILLO PUERTO,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO NAUTLA,,,RIO BOBOS,,,ARROYO
OCGCE3241,MARTINEZ DE LA TORRE  (INGENIO),,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO NAUTLA,,,RIO BOBOS,,,RIO
OCGCE3242,PUENTE MARTINEZ,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO NAUTLA,,,RIO BOBOS,,,RIO
OCGCE3245,RIO BOBOS (EL FILO),,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO NAUTLA,,,RIO BOBOS,,,RIO
OCGCE3225,RIO CALZADAS I,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO HUAZUNTLAN,,,RIO CALZADAS,,,RIO
OCGCE3331,RIO CALZADAS II,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO HUAZUNTLAN,,,RIO CALZADAS,,,RIO
OCGCE3434,PUENTE CALZADAS,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO HUAZUNTLAN,,,RIO CALZADAS,,,RIO
OCGCE3263,COLONIA LUZ DEL BARRIO,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO LA ANTIGUA,,,RIO CARNEROS,,,RIO
OCGCE3264,COLONIA LOS PINOS,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO LA ANTIGUA,,,RIO CARNEROS,,,RIO
OCGCE3248,PUENTE ZACATE COLORADO,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO CAZONES,,,RIO CAZONES,,,RIO
OCGCE3251,PUENTE CAZONES,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO CAZONES,,,RIO CAZONES,,,RIO
OCGCE3254,RIO CAZONES (INF. LAS GAVIOTAS),,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO CAZONES,,,RIO CAZONES,,,RIO
OCGCE3413,PUENTE CAZONES III,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO CAZONES,,,RIO CAZONES,,,RIO
OCGCE3414,PUENTE LA UNION,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO CAZONES,,,RIO CAZONES,,,ARROYO
OCGCE3415,PANGA CAZONES (LA CONCEPCION),,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO CAZONES,,,RIO CAZONES,,,RIO
OCGCE3416,CAZONES,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO CAZONES,,,RIO CAZONES,,,RIO
OCGCE3419,RIO CHIQUITO II,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,BAJO RIO COATZACOALCOS,,,RIO CHIQUITO,,,RIO
OCGCE3451,RIO COACHAPA,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,BAJO RIO COATZACOALCOS,,,RIO COACHAPA,,,RIO
OCGCE3461,RIO COATZACOALCOS (OTAPA),,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,BAJO RIO COATZACOALCOS,,,RIO COACHAPA,,,RIO
OCGCE3157,RIO COATZACOALCOS (SUCHILAPAN),,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,ALTO RIO COATZACOALCOS,,,RIO COATZACOALCOS,,,RIO
OCGCE3158,RIO COATZACOALCOS (REF CHIQUITO),,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,BAJO RIO COATZACOALCOS,,,RIO COATZACOALCOS,,,RIO
OCGCE3161,RIO COATZACOALCOS (NANCHITAL),,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO HUAZUNTLAN,,,RIO COATZACOALCOS,,,RIO
OCGCE3210,RIO COATZACOALCOS (EL TRIUNFO),,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,ALTO RIO COATZACOALCOS,,,RIO COATZACOALCOS,,,RIO
OCGCE3211,LAS PERLAS,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,ALTO RIO COATZACOALCOS,,,RIO COATZACOALCOS,,,RIO
OCGCE3234,COATZACOALCOS (PUNTA LA PIEDRA),,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO HUAZUNTLAN,,,RIO COATZACOALCOS,,,RIO
OCGCE3284,RIO COATZACOALCOS (API),,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,LLANURAS DEL COATZACOALCOS,,,RIO COATZACOALCOS,,,RIO
OCGCE3348,RIO COATZACOALCOS (ALLENDE),,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,LLANURAS DEL COATZACOALCOS,,,RIO COATZACOALCOS,,,RIO
OCGCE3349,RIO COATZACOALCOS (LA VICTORIA),,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,BAJO RIO COATZACOALCOS,,,RIO COATZACOALCOS,,,RIO
OCGCE3367,RIO COATZACOALCOS UXPANAPAN,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO HUAZUNTLAN,,,RIO COATZACOALCOS,,,RIO
OCGCE3439,RIO COATZACOALCOS (IXHUATEPEC),,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,BAJO RIO COATZACOALCOS,,,RIO COATZACOALCOS,,,RIO
OCGCE3453,PUENTE COATZACOALCOS II,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,BAJO RIO UXPANAPA,,,RIO COATZACOALCOS,,,RIO
OCGCE3456,RIO COATZACOALCOS (MINATITLAN),,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,BAJO RIO COATZACOALCOS,,,RIO COATZACOALCOS,,,RIO
OCGCE3459,RIO COATZACOALCOS (ABAJO BOCA COACHAPA),,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,BAJO RIO COATZACOALCOS,,,RIO COATZACOALCOS,,,RIO
OCGCE3462,RIO COATZACOALCOS (ARRIBA BOCA COACHAPA),,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,BAJO RIO COATZACOALCOS,,,RIO COATZACOALCOS,,,RIO
OCGCE3340,PUENTE COTAXTLA-PASO DEL TORO,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO COTAXTLA,,,RIO COTAXTLA,,,RIO
OCGCE3360,COTAXTLA (PTE.),,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO COTAXTLA,,,RIO COTAXTLA,,,RIO
OCGCE3163,BY PASS,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO TONTO,,,RIO ESCAMELA,,,RIO
OCGCE3224,ESCAMELA (FIRIOB),,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO TONTO,,,RIO ESCAMELA,,,ARROYO
OCGCE3368,NARANJAL (ABAJO CONFLUENCIA METLAC),,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO TONTO,,,RIO ESCAMELA,,,RIO
OCGCE3418,RIO GRANDE II,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO LA ANTIGUA,,,RIO GRANDE,,,
OCGCE3338,EL TEJAR II,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO JAMAPA-COTAXTLA,,,RIO JAMAPA,,,RIO
OCGCE3339,PUENTE MEDELLIN- EL TEJAR,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO JAMAPA,,,RIO JAMAPA,,,RIO
OCGCE3358,JAMAPA,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO JAMAPA,,,RIO JAMAPA,,,RIO
OCGCE3359,PUENTE SOLEDAD DE DOBLADO,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO JAMAPA,,,RIO JAMAPA,,,RIO
OCGCE3399,COSCOMATEPEC,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO JAMAPA,,,RIO JAMAPA,,,RIO
OCGCE3295,PUENTE NACIONAL,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO LA ANTIGUA,,,RIO LA ANTIGUA,,,RIO
OCGCE3296,GUAYABAL,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO LA ANTIGUA,,,RIO LA ANTIGUA,,,RIO
OCGCE3298,PUENTE SALMORAL,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO LA ANTIGUA,,,RIO LA ANTIGUA,,,RIO
OCGCE3315,PUENTE LA ANTIGUA,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO LA ANTIGUA,,,RIO LA ANTIGUA,,,RIO
OCGCE3291,PUENTE LOS PESCADOS,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO LA ANTIGUA,,,RIO LOS PESCADOS,,,RIO
OCGCE3292,JALCOMULCO,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO LA ANTIGUA,,,RIO LOS PESCADOS,,,RIO
OCGCE3292M1,JALCOMULCO 2,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO LA ANTIGUA,,,RIO LOS PESCADOS,,,RIO
OCGCE3293,RIO LOS PESCADOS AGUAS ABAJO DESC. DE JALCOMULCO,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO LA ANTIGUA,,,RIO LOS PESCADOS,,,RIO
OCGCE3293M1,COETZALA,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO LA ANTIGUA,,,RIO LOS PESCADOS,,,RIO
OCGCE3294,CARRIZAL,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO LA ANTIGUA,,,RIO LOS PESCADOS,,,RIO
OCGCE3288,RIO PINTORES II,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO LA ANTIGUA,,,RIO LOS PINTORES,,,RIO
OCGCE3390,RIO MALTRATA,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO TONTO,,,RIO MALTRATA,,,RIO
OCGCE3290,RIO  MATLACOBALT ESTACION LAS JUNTAS,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO LA ANTIGUA,,,RIO MATLACOBLT,,,RIO
OCGCE3290M1,RIO MATLACOBATL (TEXOLO),,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO LA ANTIGUA,,,RIO MATLACOBLT,,,RIO
OCGCE3396,RAFAEL DELGADO (RIO BLANCO),,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO TONTO,,,RIO MATZINGA,,,RIO
OCGCE3371,RIO METLAC,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO TONTO,,,RIO METLAC,,,RIO
OCGCE3233,EL RAUDAL,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO MISANTLA,,,RIO MISANTLA,,,RIO
OCGCE3311,PUENTE MISANTLA,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO MISANTLA,,,RIO MISANTLA,,,RIO
OCGCE3244,MARTINEZ DE LA TORRE,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO NAUTLA,,,RIO NAUTLA,,,RIO
DLPUE2004,RIO NECAXA 7,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO TECOLUTLA,,,RIO NECAXA,,,RIO
OCGCE3212,PROGRESO DE ZARAGOZA,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO TECOLUTLA,,,RIO NECAXA,,,RIO
OCGCE3214,PUENTE ENTABLADERO (ESPINAL),,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO TECOLUTLA,,,RIO NECAXA,,,RIO
OCGCE3372,PUENTE COYUTLA,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO TECOLUTLA,,,RIO NECAXA,,,RIO
OCGCE3373,ORIENTE DE MEDIO DIA,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO TECOLUTLA,,,RIO NECAXA,,,RIO
OCGCE3369,RIO NEGRO,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO TONTO,,,RIO NEGRO,,,RIO
OCGCE3465,LOS COCOS,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO PAPALOAPAN,,,RIO OBISPO,,,RIO
OCGCE3179,CHACALTIAGUIS,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO PAPALOAPAN,,,RIO PAPALOAPAN,,,RIO
OCGCE3181,CARLOS A. CARRILLO,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO PAPALOAPAN,,,RIO PAPALOAPAN,,,RIO
OCGCE3185,TLACOJALPAN,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO PAPALOAPAN,,,RIO PAPALOAPAN,,,RIO
OCGCE3202,TLACOTALPAN II,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,LLANURAS DE PAPALOAPAN,,,RIO PAPALOAPAN,,,RIO
OCGCE3203,TLACOTALPAN I,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,LLANURAS DE PAPALOAPAN,,,RIO PAPALOAPAN,,,RIO
OCGCE3204,PUENTE TLACOTALPAN,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,LLANURAS DE PAPALOAPAN,,,RIO PAPALOAPAN,,,RIO
OCGCE3205,DESEMBOCADURA RIO PAPALOAPAN,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,LLANURAS DE PAPALOAPAN,,,RIO PAPALOAPAN,,,ESTUARIO
OCGCE3297,PUENTE PAPALOAPAN,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO PAPALOAPAN,,,RIO PAPALOAPAN,,,RIO
OCGCE3464,COSAMALOAPAN,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO PAPALOAPAN,,,RIO PAPALOAPAN,,,RIO
OCGCE3283,ZIMPIZAHUA,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO LA ANTIGUA,,,RIO PINTORES,,,RIO
OCGCE3286,"INGENIO MAHUIXTLAN, S.A. DE C.V. (AGUAS ARRIBA)",,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO LA ANTIGUA,,,RIO PINTORES,,,DESCARGA
OCGCE3287,"INGENIO MAHUIXTLAN, S.A. DE C.V. (AGUAS ABAJO)",,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO LA ANTIGUA,,,RIO PINTORES,,,DESCARGA
OCGCE3449,RIO PINTORES I (REFERENCIA),,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO LA ANTIGUA,,,RIO PINTORES,,,RIO
OCGCE3262,RIO PIXQUIAC (RANCHO VIEJO),,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO LA ANTIGUA,,,RIO PIXQUIAC,,,RIO
OCGCE3280,LA ORDU&A I,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO LA ANTIGUA,,,RIO PIXQUIAC,,,RIO
OCGCE3281,LA ORDU&A II,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO LA ANTIGUA,,,RIO PIXQUIAC,,,RIO
OCGCE3282,LA ORDU&A III (PUENTE),,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO LA ANTIGUA,,,RIO PIXQUIAC,,,RIO
OCGCE3289,RIO PIXQUIAC  (SALIDA),,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO LA ANTIGUA,,,RIO PIXQUIAC,,,RIO
OCGCE3198,LERDO DE TEJADA,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,LLANURAS DE PAPALOAPAN,,,RIO SAN AGUSTIN,,,RIO
OCGCE3199,GUAYABAL 2,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,LLANURAS DE PAPALOAPAN,,,RIO SAN AGUSTIN,,,RIO
OCGCE3201,PASO SALTABARRANCA,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,LLANURAS DE PAPALOAPAN,,,RIO SAN AGUSTIN,,,RIO
OCGCE3452,RIO SAN ANTONIO (DOVALI),,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,BAJO RIO UXPANAPA,,,RIO SAN ANTONIO,,,RIO
OCGCE3423,LA CEIBILLA,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO SAN JUAN,,,RIO SAN JUAN,,,RIO
DLPUE2007,RIO CAZONES 1,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO CAZONES,,,RIO SAN MARCOS,,,RIO
DLPUE2008,LAZARO CARDENAS,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO CAZONES,,,RIO SAN MARCOS,,,RIO
OCGCE3266,SEDE&O (PUENTE CARRETERA XALAPA-BANDERILLA),,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO ACTOPAN,,,RIO SEDE&O,,,RIO
OCGCE3267,SEDE&O (U. H. LUCAS MARTIN),,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO ACTOPAN,,,RIO SEDE&O,,,RIO
OCGCE3268,XALAPA-CASTILLO (PUENTE EL TRONCONAL),,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO ACTOPAN,,,RIO SEDE&O,,,RIO
OCGCE3270,SEDE&O (COL. 6 DE ENERO),,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO ACTOPAN,,,RIO SEDE&O,,,RIO
OCGCE3277,PTAR BANDERILLA,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO ACTOPAN,,,RIO SEDE&O,,,RIO
OCGCE3278,PTE AUTOPISTA XALAPA-COATEPEC,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO LA ANTIGUA,,,RIO SORDO,,,RIO
OCGCE3279,RANCHO NUEVO,,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO LA ANTIGUA,,,RIO SORDO,,,RIO
OCGCE3422,RIO TANCOCHAPA (LAS CHOAPAS),,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,TANCOCHAPA BAJO,,,RIO TANCOCHAPA,,,RIO
OCGCE3160,ARROYO TEAPA (REFERENCIA),,,,,GOLFO CENTRO,,,VERACRUZ DE IGNACIO DE LA LLAVE,,,RIO HUAZUNTLAN,,,RIO TEAPA,,,RIO
