No. ,Empresa,Dirección,Municipio,Clave Municipio,Estado,Clave Entidad,Teléfono,Tipo de residuo,No. de Autorización,Vigencia    Inicio    ,Vigencia Termino,Capacidad Toneladas.,,,,,,,
33,"Erti, S.A. de C.V.","Calle Juan de Ugarte No. 11062-3, Fracc. Garita de Otay, Delegación Mesa de Otay, C.P. 22500",Tijuana,4,Baja California,2,(664)624-44-72,"LODOS SEDIMENTADOS Y SOLUCIONES GASTADAS GENERADOS EN LOS PROCESOS DE PRESERVACION DE LA MADERA. TODOS LOS RESIDUOS PROVENIENTES DE LOS PROCESOS DE MANUFACTURA CUYA MATERIA PRIMA SEA EL ASBESTO Y LA FIBRA SE ENCUENTREN EN FORMA LIBRE, POLVO Ó FACILMENTE DESMENUZABLE CON LA PRESIÓN DE LA MANO. RESIDUOS DE LOS BAÑOS DE LA OPERACIÓN DE GALVANOPLASTIA DONDE LOS CIANUROS SON USADOS EN LOS PROCESOS. RESIDUOS RESULTANTES DE LA INCINERACION O DE TRATAMIENTO TERMICO DE SUELOS CONTAMINADOS CON LOS RESIDUOS PELIGROSOS CON CLAVES NE 12, NE 13, NE 14 Y NE 16. PRODUCTOS QUIMICOS CADUCOS (TOXICOS AGUDOS). PRODUCTOS QUIMICOS CADUCOS (TOXICOS CRONICOS). RESIDUOS PELIGROSOS RESULTADO DEL DESECHO DE PRODUCTOS QUIMICOS FUERA DE ESPECIFICACIONES O CADUCOS (TOXICOS CRONICOS). PILAS O BATERIAS ZINC-OXIDO DE PLATA USADAS O DESECHADAS. CATALIZADORES GASTADOS DE VEHÍCULOS AUTOMOTORES. ESCORIAS PROVENIENTES DEL HORNO DE FUNDICION DE CHATARRA EN LA PRODUCCIÓN DE ALUMINIO. ESCORIAS PROVENIENTES DEL HORNO DE FUNDICION DE CHATARRA EN LA PRODUCCIÓN SECUNDARIA DE COBRE. ESCORIAS PROVENIENTES DEL HORNO DE FUNDICION DE CHATARRA EN LA PRODUCCIÓN SECUNDARIA DE PLOMO. LODOS PROVENIENTES DE LAS OPERACIONES DE DECAPADO O DESENGRASADO. LODOS PROVENIENTES DE LOS BAÑOS DE CADMIZADO, COBRIZADO, CROMADO, ESTAÑADO, FOSFATIZADO, LATONADO, MIQUELADO, PLATEADO, TROPICALIZADO O ZINCADO DE PIEZAS METALICAS. LODOS GENERADOS EN EL PROCESO DE DESENCALADO Y DEPILADO. LODOS GENERADOS EN LA ETAPA DE CURTIDO AL CROMO. LODOS DE LAS AGUAS RESIDUALES DE LOS SISTEMAS DE LAVADO DE EMISIONES ATMOSFERICAS. LODOS GENERADOS EN LAS CASETAS DE APLICACIÓN DE PINTURA. LODOS DE DESTILACION DE SOLVENTES. ACEITES GASTADOS EN LAS OPERACIONES DE TRATAMIENTO EN CALIENTE DE METALES. RESIDUOS DE SOLDADURA EN LA PRODUCCION DE CIRCUITOS ELECTRONICOS QUE CONTENGAN PLOMO U OTROS METALES. RESIDUOS DE SOLVENTES EMPLEADOS EN LA LIMPIEZA DE LAS PLACAS EN LA PRODUCCION DE CIRCUITOS ELECTRONICOS. ACEITES GASTADOS DE CORTE Y ENFRIAMIENTO EN LAS OPERACIONES DE TROQUELADO, FRESADO, TALADRADO Y ESMERILADO. FELPAS IMPREGNADAS DE PIGMENTOS DE CROMO Y PLOMO. RESIDUOS DE AGENTES SECANTES PARA PINTURAS, LACAS, BARNICES, MASILLAS PARA RESANAR Y PRODUCTOS DERIVADOS. RESIDUOS DEL EQUIPO DE CONTROL DE LA CONTAMINACIÓN DEL AIRE. LOS MEDICAMENTOS FUERA DE ESPECIFICACIONES O CADUCOS DE LOS LISTADOS 3 Y 4 DE LA NORMA OFICIAL MEXICANA NOM-052-SEMARNAT-2005. RESIDUOS ACIDOS O ALCALINOS. RESIDUOS DE ADHESIVOS Y POLIMEROS. CENIZAS DE INCINERACIÓN DE RESIDUOS. GASOLINA, DIESEL Y NAFTAS GASTADOS O SUCIOS PROVENIENTES DE ESTACIONES DE SERVICIO O TALLERES AUTOMOTRICES. RESIDUOS DE LIQUIDO BLANQUEADOR. FIJADOR, ESTABILIZADOR Y AGUAS DE ENJUAGUE PROVENIENTES DEL REVELADO DE PAPEL FOTOGRAFICO, PLACAS RADIOGRAFICAS O DE RAYOS X Y FOTOLITOS.",02-004-PS-II-03-D-2011,JULIO 2011,JULIO 2021,3960,,,,,,,
34,"Gonhermex, S.A. de C.V.","Buena Vista No. 2702, Parque Industrial Internacional Tijuana, C.P. 22425.",Tijuana,4,Baja California,2,664) 682-76-25,"Acumuladores automotrices usados (Clave: UN-2794, Clase 8).",02-004-PS-II-01-D-2012,ENERO 2012,ENERO 2022,160,,,,,,,
35,"Nueva Exportadora Latina de México, S.A. de C.V.","Carretera Mexicali-Tijuana Km. 153, Col. El Florido, C.P. 22723.",Tijuana,4,Baja California,2,(664) 626-80-34,"Sólidos (trapos, envases y filtros) impregnados con aceite, los cuales presentan características de Toxicidad de acuerdo al Código de Peligrosidad de los Residuos (CPR)",02-004-PS-II-02-D-2012,ENERO 2012,ENERO 2022,500,,,,,,,
36,"Cali Resources, S.A. de C.V.","Calle 7 Sur No. 1060, Ciduad Industrial Nueva Tijuana, C.P. 22444.",Tijuana,4,Baja California,2,(664) 607-23-99,"Tarjetas de circuito impreso y componente, Tubo de rayo catódico (CRT), Unidades de procesamiento de datos (CPU) monitores equipo de computo, Vidrio y Soldadura, Residuos con soldadura que puedan contener estaño-plomo, Balastras conteniendo placa con soldadura.",02-004-PS-II-04-D-2012,SEPTIEMBRE 2012,SEPTIEMBRE 2022,590.00,,,,,,,
37,"Sistemas Ecológicos para la Protección Ambiental, S.A. de C.V.","Av. Argentina No. 7, Fracc. Hípico, C.P. 21200",Mexicali,2,Baja California,2,(686) 568-44 54,"Lodos sedimentados y soluciones gastadas generados en los procesos de preservación de la madera. Todos los residuos provenientes de los procesos de manufactura cuya materia prima sea el asbesto y la fibra se encuentre en forma libre, polvo o fácilmente desmenuzable con la presión de la mano. Residuos de los baños en operaciones de galvanoplastia donde los cianuros son usados en los procesos. Residuos resultantes de la incineración o de tratamiento térmico de suelos contaminados con los residuos peligrosos con Claves NE 12, NE 13, NE 14 y NE 16. Productos químicos caducos (tóxicos agudos). Productos químicos caducos (tóxicos crónicos). Residuos peligrosos resultados del desecho de productos químicos fuera de especificaciones o caducos (Tóxicos crónicos). Pilas o baterías zinc - oxido de plata usadas o desechadas. Catalizadores gastados de vehículos automotores. Escorias provenientes del horno de fundición de chatarra en la producción de aluminio. Escorias provenientes del horno de la producción secundaria de cobre. Escorias provenientes del horno de la producción secundaria de plomo. Lodos provenientes del decapado o desengrasado. Lodos provenientes de los baños de cadmizado, cobrizado, cromado, estañado, fosfatizado, latonado, niquelado, plateado, tropicalizado o zincado de piezas metálicas. Lodos generados en los procesos de desencalado y depilado. Lodos generados en la etapa de curtido al cromo. Lodos de las aguas residuales de los sistemas de lavado de emisiones atmosféricas. Lodos generados en las casetas de aplicación de pintura. Lodos de destilación de solventes. Aceites gastados en las operaciones de tratamiento en caliente de metales. Residuos de soldadura en la producción de circuitos electrónicos que contengan plomo u otros metales de la tabla 2 de la NOM-052-SEMARNAT-2005. Residuos de solventes empleados en la limpieza de las placas en la producción de circuitos electrónicos. Aceites gastados de corte y enfriamiento de las operaciones de troquelado, fresado, taladrado y esmerilado. Felpas impregnadas de pigmentos de cromo y plomo. Residuos de agentes secantes para pintura, lacas, barnices, masillas para resanar y productos derivados. Residuos del equipo de control de la contaminación del aire. Los medicamentos fuera de especificaciones o caducos que no aparezcan en los listados 3 y 4 de la NOM-052-SEMARNAT-2005. Residuos ácidos o alcalinos. Residuos de adhesivos y polímeros. Cenizas de incineración de residuos. Gasolina, diesel y naftas gastados o sucios provenientes de estaciones de servicio y talleres automotrices. ",02-002-PS-II-05-D-2012,NOVIEMBRE 2012,NOVIEMBRE 2022,"3,310.00",,,,,,,
38,C. Dora Maria Trejo de la Torre,"Calle La Paz No. 1010, Esquina con Calle 16 de Septiembre, Colonia Industrial.",Ensenada,1,Baja California,2,(665) 521-43-96,Acumuladores automotrices usados (contenido de plomo),02-003-PS-II-06-D-2012,NOVIEMBRE 2012,NOVIEMBRE 2022,20.00,,,,,,,
39,"Bmi Recycling de México, S.A. de C.V.","Calle Brea No. 5, Interior B, Col. Meseta del Chema, Delegación La Presa, C.P.22225.",Tijuana,4,Baja California,2,(664) 625-86-38,Cable de cobre. Aluminio metálico. Cobre metálico. Fierro metálico. Bronce metálico. Plomo metálico. Plata metálica. Cromo metálico. Latón metálico. Equipo eléctrico. Equipo electrónico. Placa electrónica. Equipo de computo. Escoria de soldadura de plomo. Escoria de soldadura de plata.,No. 02-004-PS-II-07-D-2012,DICIEMBRE 2012,DICIEMBRE 2022,427.00,,,,,,,
40,"Servicios Ambientales Maypa, S.A. de C.V.","Carretera a Ej. Guanajuato y Carr. Ej. Puebla-Ej. Michoacán de Ocampo, Deleg. Cerro Prieto",Mexicali,2,Baja California,2,(664) 204-2712,Cultivos y cepas de agentes infecciosos; patológicos; residuos no anatómicos; punzocortantes; textiles impregnados con hidrocarburos; textiles impregnados con solventes; envases vacíos que contuvieron materiales peligrosos; lodos impregnados con hidrocarburos; tubos fluorescentes; baterias caducas; medicamentos caducos; agua con aceite de purga de compresores y aceite residual,02-002-PS-II-01-D-2013,ene-13,ene-23,136,,,,,,,
41,"Biosea, S.A. de C.V.","Calle Tecate No. 17719, Col. Baja California, C.P. 22127",Tijuana,4,Baja California,2,(664) 647-8378,"Solidos: 804 tarimas (yardas cubicas, supersacos y/o tibores y Liquidos: 781 tibores (200L).",02-004-PS-II-02-D-2013,ene-13,ene-23,978,,,,,,,
42,"SERVICIOS AMBIENTALES MEXICANOS, S.A. DE C.V.","CALLE SEBASTIAN VIZCAINO No. 422, FRACCIONAMIENTO GARITA DE OTAY",TIJUANA,4,Baja California,2,(664) 624 44 55,"trapos impregnados con resinas y solventes, resina epóxica (west system) residual, absorbente con aceite, aceite residual, aceite residual, aceite soluble (maquinaria y purga de compresores), aceite soluble contaminado con solvente, acetona residual con una pulgada de solidos, acido clorhídrico residual con agua, acido crómico con líquidos libres, acido sulfúrico residual, adhesivo 3m (scotch-weld) residual, adhesivo o goma base solvente (hasta 25 solidos), adhesivo viscoso residual, adhesivo viscoso residual, agua alcalina con pintura base agua, agua con aceite, agua con cromo hexavalente residual, agua con desengrasante, agua con desengrasante y aceite, agua con desengrasante y acetona, agua con detergente residual, agua con flux, agua con goma, de la purga de compresores y aceite de compresores, agua con jabón, agua con peelway, agua con pintura base agua, agua con refrigerante, agua con sal (liquida), agua con sedimento de alloy, agua con solventes, agua contaminada con pintura residual, agua corrosiva residual de la tina de lavado, agua de enjuague acido (agua acidificada), agua de revelado con solventes n/a, agua residual de la limpieza de alcantarilla n/a, agua residual con flux y aquanox (etanol) corrosivo, agua residual con níquel, agua residual con silicón, agua residual con solventes, agua residual con tinta base agua, agua residual con tinta de lavado de charolas, agua residual del lavado de placas, agua residual, agua residual proveniente de lavados de marcos, agua residual proveniente del proceso de pulido de lentes de plástico, aplicadores de plástico y sobres de aluminio con iodo y lubricante, arena de corazón, arena de sanblast contiene plomo, arena de sand blast, arena sílica, aserrín contaminado con aceite, balastras gastadas, basura ácida contaminada con cromo residual, baterías de ion litio residuales, baterías plomo ácido, baterías residuales alcalinas, cable de termómetros eléctricos, cadmio residual, carbón activado con solventes, cartón, hule, aserrín, mascarillas, lentes, filtros, averalls, cubetas vacías que contuvieron aceite y polvo de zinc, cera para moldeo (wax polishing compund residual), cera residual viscoza 90%, 10% agua residual, cerro residual, charola con goma residual, cilindros que contienen restos de freón y polycold sistema, cloruro de metilo residual, cloruro férrico residual neutro, componentes electrónicos y eléctricos de mantenimiento de planta, conathane parte a obsoleto (methylendiphenyl disocianato), crts residuales, desecho de placa de circuito impreso con componentes y sin componentes, desengrasante residual (2 butoxietanol), grasas y aceites, diesel obsoleto, disecante residual, d-limonene obsoleto, ductos contaminados con soldadura, duratec 1904-045, film 10 residual, endurecedor el 324 sc hardener, equipo electrónico fuera de especificación, escoria de soldadura estaño-plomo, estructuras metálicas que contienen polvos de pintura base agua y solventes, etil acetato con resina, fibra de vidrio catalizada, filtros de proceso impregnado con tintas (base agua), filtros contaminados con hule, pintura y carbonato de calcio, filtros contaminados con polvo metal spray, filtros de aire y filtros de metal contaminados con aceite residual, filtros de carbón activado, filtros de caseta de cartón y carbón activado contaminados con pintura base de poliuretano, filtros de caseta y extractores contaminados con solventes, filtros de metal, cartuchos de tóner y recipientes que contuvieron materiales peligrosos, filtros de metal contaminados con solvente, filtros de papel con pintura curada, filtros de papel impregnados con pintura base agua y fibra de vidrio, filtros de papel, filtros de pintura con malla metálica residual, filtros de carbón activado del separador de agua aceite del compresor, filtros del sistema de tratamiento de agua de lavado de screen y purgas de compresores y trapos impregnados con la purga de compresores, filtros impregnados con solventes, filtros metálicos contaminados con aceite, filtros provenientes de extractores, filtros residuales y polvo, foam contaminado con solventes, formaica con solventes, goma base agua altamente viscosa, goma base agua con agua, goma residual 100% solida (adhesivos base agua), goma semisólida base agua, grafito residual, grasa residual, hardener residual, lámparas fluorescentes residuales (enteras o quebradas), latas contaminadas con pasta de soldadura residual, limpiador liquido residual, liquido de anticongelante con polvo de vidrio, liquido alcalino (removedor), liquido residual de proceso, líquidos libres, lodos ácidos de hidróxido de hierro, lodos de aceite y lavados (sólidos), lodos de evaporación, lodos de fosa de agua de proceso, lodos de fosas receptoras de aguas de proceso, lodos de fosfatizado y pintura electrostática, lodos de la cortadora con rebaba de acero y aluminio, lodos de la planta de tratamiento de aguas residuales de proceso de moldes de vidrio (sólidos), lodos de lavado de metal, lodos de lijado de partes, lodos de pintura base agua (líquidos libres), lodos de pintura base solvente, lodos de planta de tratamiento de aguas residuales del proceso de moldes de vidrio (sólidos), lodos de planta de tratamiento de aguas y fosfatizado, lodos de planta de tratamiento de aguas, lodos de planta de tratamiento de lodos acuosos, lodos de planta de tratamiento de los baños de procesos de cianuros, lodos de planta tratadora, lodos de polvo de vidrio con anticongelante (líquidos libres), lodos de polvo metálico con aceite de corte, lodos de proceso de corte contaminados con níquel y cadmio, lodos de recirculación de anticongelante en el área de sisty case (barras), lodos de tinta con solvente (líquidos libres), lodos de tratamiento de aguas residuales de moldes de vidrio (con líquidos libres), lodos de tratamiento de aguas del área de corte, lodos de filtro prensa con cromo: lodos de tratamiento de aguas residuales de operaciones de galvanoplastia, lodos provenientes del desengrasado, lodos secos de pintura base agua, lodos secos de planta de tratamiento de aguas, lodos solidos de la planta de tratamiento de aguas residuales (contienen cromo), lodos solidos del evaporador contaminados con cromo, lodos y tierra con aceite, loose pack corrosivo, loose pack corrosivo, loose pack de adhesivos fuera de especificación, loose pack de pinturas base agua, loose pack de pinturas base agua, loose pack de pinturas base solventes, loose pack de pinturas caducas flamables, loose pack de pinturas caducas flamables, loose pack de tinta sólida caduca, loose pack flamable, loose pack residuos inflamables, lubricante (club jelly) n/a, materia prima fuera de especificación (ácido bórico), materiales de filtración, materiales obsoletos sólidos (loose pack de polvos de espiropiranos dye cnn11 cnn12, cnn13, cnn14, cnn15, cnn16, cnn17), espiropiranos (dye cnn11 cnn12, cnn13, cnn14, cnn15, cnn16, cnn17), mezcla de recipientes vacíos plásticos, metálicos, vidrio, aerosoles despresurizados, de diferentes capacidades que contuvieron materiales peligrosos, mezcla de adhesivos caducos, filtros, solidos contuvieron mek, xilenos, epóxica, solvente naphta, y recip. vacíos que cont. mat. pel., mezcla de agua con aceite, mezcla de agua con bandak, mezcla de carbonato de calcio, acubrade y versene con partículas de resina, mezcla de disolventes con resina, mezcla de hule, pintura y carbonato de calcio, mezcla de limpiador y tintas (sedimentos), mezcla de limpiador y tintas, mezcla de rebaba impregnada con aceite (acero, bronce, aluminio), mezcla de resinas residuales (metiletilcetona, xilenos) con líquidos libres, mezcla de sólidos (filtros con carbón activado y flux), mezcla de sólidos con adhesivo y resina curada, mezcla de sólidos con brea, mezcla de sólidos con pintura y bondo, mezcla de sólidos con silicón, mezcla de sólidos contaminados con adhesivo, pintura esmalte, lubricantes y solventes (mx), mezcla de sólidos contaminados con pintura base solvente, silicón, grasa y aceite, mezcla de sólidos contaminados con pintura de cerámica sin plomo, mezcla de sólidos contaminados con pintura cerámica, mezcla de sólidos contaminados con pintura, mezcla de sólidos contaminados con plomo y solventes, mezcla de sólidos contaminados con rebaba de bronce, ceras, grasas y plomo, mezcla de sólidos contaminados con soldadura (fibras, puntas cautín y rollos de soldadura, flux, adhesivos, contenedores vacíos, madera), mezcla de sólidos contaminados con tinta base agua y aceite, mezcla de sólidos contaminados con grasa, aceite, gomas base agua, tintas y pinturas base agua (trapos, guantes, algodón, cartón, papel, plástico, madera), mezcla de sólidos de pelusa de pulido (ruedas, pasta de pulido, trapos, guantes) contaminados mezcla de sólidos contaminados con pintura base agua, aceite y grasa con silicón, oxidante, resina, mezcla de sólidos contaminados con epóxicos y aceites, mezcla de sólidos impregnados con polvo de pulido, mezcla de sólidos impregnados con solvente y soldadura, mezcla de sólidos: tubos, esponjas, servilletas impregnadas con tinta o pasta, alcohol y catalizador de resina, mezcla de solvente residual, mezcla líquida de fijador y revelador, minas vacías que contuvieron refrigerante, monitores de computadoras completos, negro de humo, nitrato de potasio residual (mezcla) n/a, pantallas de vidrio, pdp vidrio, pelusa, ruedas, lijas de pulido, tubos de grasa y pasta, percloroetileno residual, pintura 100% viscoza residual, pintura base agua (fuera de especificación), pintura caduca líquida, pintura caduca semisólida, pintura electrostática obsoleta, pintura fuera de especificación, pintura residual base solvente, pintura seca, pintura y esmaltes, polvo de acero con sólidos, polvo de aluminio estabilizado residual, polvo de estereato de zinc residual, polvo de magnesio estabilizado y polvo de aluminio estabilizado, polvo de óxido de aluminio húmedo, polvo de oxido de zinc, polvo de pintura electrostática, polvo de pintura (poder coating tci) residual, polvo de pulido con latón (metal pesados), polvo de resina residual, polvo de zinc, polvo del colector de arena, polvo metálico de sanblast (oxido de aluminio residual), polvo verde metal spray contiene cromo, polvo y/o cáscara de pintura, polvo y/o cáscara de pintura, polvos de sanblasteo de piezas metálicas (aluminio y acero), pulido de metales preciosos plata, oro y platino, refacciones usadas con mercurio, refrigerantes (freones), residuos de cerámica, residuos de material caduco (adhesivo epóxico), residuo de tetracloroetileno, residuo i-bromo propano gastado, residuo liquido corrosivo alcalino, residuos contaminados con tinta y disolvente, residuos de adhesivos y gomas, residuos de bolsas vacías que contuvieron polvos para la fabricación de hule, cartón, plástico y papel, residuos de cloruro de metileno y tetrahidrofurano, residuos de cómputo obsoleto, residuos de pintura coagulada base solvente, residuos de pintura, polvo, cartón, poliestireno, papel, e.p.p., madera, trapos con pintura, residuos de sólidos impregnados con solventes y tintas, residuos de solventes inflamables, residuos de sosa caústica sólida (odp), residuos del equipo de control de la contaminación del aire: agua de tratamiento, residuos electrónicos, residuos provenientes de equipo de contaminación del aire (filtros, cartón, trapos), residuos sólidos del recubrimiento de ar y sant blast, residuos sólidos contaminados con cromo, residuos sólidos contaminados con materiales peligrosos (borra, etc.), residuos sólidos del recubrimiento de ar y sant blast, resina caduca altamente viscosa y corrosiva parte b, resina epóxica líquida, resina epóxica parte a, resina líquida, resina parte a, resina plástica solidificada, restos de sólidos quemados que contuvieron solventes, soldadura, resinas y aceites, goma blanca residual base agua sólida, goma banca residual base agua líquida, sólidos contaminados con ácido clorhídrico, sulfhídrico, hidrofluorhidrico, sólidos contaminados con alodine, sólidos contaminados con pintura y solventes, sales residuales (fluoruro de sodio, fluoruro de aluminio) y nicrobaz (rellenador de metal), scrap de cómputo obsoleto, scrap de metal con rebaba de bronce y aluminio, scrap de moldes de acero, scrap de pantallas trituradas (plasma y lcd), scrap de placas mixtas, scrap de televisiones de plasma y lcd, silicón altamente viscoso, silicón parte a, silicón parte b, silicón sólido con bolsas de plástico, silicón sólido, sólido alcalino (contiene hidróxido de sodio), sólidos contaminados con resina epóxica, sólidos (polvo) de pintura, sólidos con adhesivos, sólidos con procesos de pintura electrostática y aceite, toallas, vidrio, recipientes y vasos con resina, sólidos contaminados con adhesivo y barniz, sólidos contaminados con estaño – plata, sólidos contaminados con óxido de manganeso y níquel, sólidos contaminados con solventes, gomas, adhesivos y pinturas base solventes (trapos, cartón, papel, plástico, equipo de protección personal, cotonetes), sólidos contaminados con ácido residual, sólidos, cartucho de tóner, recipientes vacíos de plástico, vidrio o metal que contuvieron material peligroso, sólidos, mallas, batas, recipientes vacíos, arena sílice, lentes, filtros, overall, mascarillas con aceite, solución acuosa removedor de pintura (microwash), solución jabonosa alcalina, sosa caustica residual, sprayon residual, súper sacos residuales que contuvieron carbón activado, superbond gel hardener (amino ethyl piperazne), sustancia acuosa alcalina, tibores vacíos metal y plásticos vacíos que contuvieron materiales peligrosos, tierra contaminada con aceite, thinner con pintura, tibores de metal, plástico, cartón que contuvieron materiales peligrosos, tierra contaminada con ácido clorhídrico y sulfúrico, tinta base solvente residual metil etil cetona  t159, tinta caduca y muestras de laboratorio, tinta y disolventes residuales base agua, toallas de papel impregnadas con resina epóxica, toallas de papel que contuvieron acetona, totes vacíos, trapos con pintura base agua, trapos impregnados con polish, trapos y equipo de protección personal contaminados con sustancias químicas, trozos de crisol con rebaba de metal.",02-004-PS-II-06-D-2013,nov-13,nov-23,9209.01,,,,,,,
43,"SUMINISTROS AMBIENTALES MEXICANOS, S.A DE C.V.","CALLE CUYAMACA LOTE 17-B,COLONIA PLUTARCO ELEIAS CALLES, C.P. 21376, MEXICALI, BAJA CALIFORNIA ",MEXICALI,2,Baja California,2,(686) 839 55 55,"Aceite usado, Lodos con solventes, pinturas, aceitosos con metales. Solidos impregnados con hidrocarburos (equipo de proteccion personal, filtros, envases). Solidos impregnados con solventes. Solventes residuales. Mezcla de agua con aceite. Mezclas acuosas diversas(solventes, acidos, sales, metales, o anticongelante). Pinturas residuales. Pegamento residuales. Hidrocarburos o combustibles residuales y sus mezclas. recipientes vacios que contuvieron materiales peligrosos. Tierras contaminadas. Escorias con metales. Solidos granulados, residuos de mantenimineto automotriz. Acidos, bases y sus mezclas. Balatas de desecho. Baterias de desecho, Lamparas residuales. Tableros electronicos y pantallas ",02-002-PS-II-02-D-2015,feb-15,feb-25,1289,,,,,,,
44,Junta Local de Sanidad Vegetal de Mulegé,"Domicilio Conocido, Ejido Presidente Díaz Ordaz, Valle de Vizcaíno",Mulegé,2,Baja California Sur,3,,"Envases vacíos que contivieron Plaguicidas, mangueras y acolchados ",03-PS-II-03D-2007,18-Oct.2007,18/10/2017,15.00,,,,,,,
45,Mario Avalos Rojas,"Salvatierra E/ Independencia y Ayuntamiento, Col. Centro",Loreto,9,Baja California Sur,3,01-613-13-511-23,Baterias Usadas,03-PS-II-01D-2008,02/04/2008,02/04/2018,1.00,,,,,,,
46,"Servicios Ambientales Maypa, S. A. de C. V.","Calle No. 210-D, Parque Industrial",La Paz,3,Baja California Sur,3,044-612-10-203-72,"Cultivos y Cepas, Objetos Punzocortantes, Residuos Patologicos, Residuos no Anatomicos y Sangre",03-03-PS-I-03D-2012,23/02/2012,23/02/2022,90.00,,,,,,,
47,Daniel Baltierra Ocomatl,"Calle No. 8 S/N, E / Calle 1 y Arroyo, Col. El Cardonal",La Paz,3,Baja California Sur,3,044-624-14-771-07,"Aceite Usado, Filtro de Aceite Usado, Estopas y Trapos Impregnados, Tierras  y LodosContaminadas, Plasticos Comtaminado, Acumuladores Usados ",03-PS-II-02D-2012,23/07/2012,27/07/2022,570.00,,,,,,,
48,Edgar Osorio Alvarez,"5 de Mayo S/N E/ Ayuntamiento y Cabildo, Col. Francisco Villa",La Paz,3,Baja California Sur,3,044-612-11-769-99,"Aceite Usado, Filtros de Aceite, Anticongelante Usado y Estopas y Trapos Impregnados de Residuos Peligrosos",03-PS-III-02D-2012,22/08/2012,22/08/2022,540.00,,,,,,,
49,MEDAM S. DE R.L. DE C.V.  ,"CALLE PRIMERA LOTE 7 PARQUE INDUSTRIAL 
ALBERTO ALVARADO ARAMBURO,  
",La Paz,3,Baja California Sur,3,TEL.6121282011,"CULTIVOS Y CEPAS, OBJETOS PUNZOCORTANTES, RESIDUOS PATOLÓGICOS, RESIDUOS NO ANATÓMICOS, SANGRE Y MEDICAMENTO CADUCOS",03-PS-II-01D-2015,08/05/2015,08/05/2020,20.00,,,,,,,
50,"C. Gerardo Maciel Vargas, Logysa de BCS","CALLE GIL B. MORALES NO. 433,
FRACCIONAMIENTO ARCO IRIS II, C.P. 23088, 
MUNICIPIO DE LA PAZ, B.C.S.  ",La Paz,3,Baja California Sur,3,044(612)1573434,"Plaguicidas y sus envaces que contengan remanentes de los mismos, Subtancias peligrosos para el medio ambiente, solidas, residuos peligrosos líquido, agua residual con hidrocarburos, asbesto blanco, productos de petróleo, aceite de petróleo, acumuladores de litio, acumuladores eléctricos de electrolito liquido acido, acumuladores eléctricos no derramables de electrolito liquido, batería de ion litio (incluidas las batetias polimétricas de ion litio), bifenilos policlorados, catalizador de metal seco, dióxido de carbono solido, electrolito acido para baterías, fertilizantes a base de nitrato de amonio, fibras de origen vegetal impregnadas de aceite, fibras sintéticas impregnadas de aceite, hipoclorito de calcio en mezcla seca con mas de 10% pero no más de 39% de cloro activo, material inflamable corrosivo relacionado con pinturas (incluidos disolventes y diluyentes para pinturas) materiales relacionados con la tinta de imprenta o tinta de imprenta (incluido diluyente de tinta de imprenta o producto reductor), inflamable y lodos ácidos, dióxido de carbono solido (hielo seco, nieve carbónica), ácido sulfúrico con un máximo del 51% de ácido o electolito ácido para beterías, lámparas fluorescentes y de vapor mercurio, desechos clinicos, desechos biologico medicos, sustancia infecciosa para el hombre, pesticida tóxico solido y liquido.",03-PS-II-02D-2015,22/06/2015,22/06/2025,"16,200.00",,,,,,,
51,SERVIICIOS ECOLOGICOS DE LA PAZ S DE RL DE CV,"RICARDO SALAZAR LUCERO
SERVICIOS ECOLÓGICOS DE LA PAZ, S. DE R.L. DE C.V.   
CALLE INSURGENTES #3800, LOCAL #4, 
ESQUINA CALLE COLIMA, COL. LA POSADA, 
 C.P. 23090.  ",La Paz,3,Baja California Sur,3,"TEL. 01612 4162858
CEL. 0446121401234","ACEITES LUBRICANTES USADOS, FILTROS USADOS IMPREGNADOS DE ACEITE, SÓLIDOS IMPREGNADOS DE MANTENIMIENTO AUTOMOTRIZ, ACUMULADORES USADOS DE VEHÍCULOS AUTOMOTRICES, SUELO CONTAMINADO CON HIDROCARBUROS, SUELOS CONTAMINADOS CON RESIDUOS PELIGROSOS LISTADOS EN LA NOM-SEMARNAT-052, SOLVENTES ORGÁNICOS, ESCORIAS DE PARTÍCULAS DE METALES PESADOS, SOLVENTES ORGANOCLORADOS Y SÓLIDOS CONTAMINADOS CON RESIDUOS PELIGROSOS LISTADOS EN LA NOM-SEMARNAT-052.",03-PS-II-03D-2015,01/07/2015,01/07/2025,150.00,,,,,,,
52,Lidia Nelly Solís Herrera,"Carretera del Cármen - Puerto Real Km 21+ 086, Predio San Benito",Ciudad del Carmén,3,Campeche,4,01 99 33 15 76 28,"Aceites lubricanters gastados, filtros estopas, telas, aserrín con aceite lubricante, guantes impregnados de aceite, solventes, recipientes vacíos, pinturas caducas y baterías",4-3-PS-II-02-2008,15/02/2008,15/02/2018,90.00,,,,,,,
53,"Servicios Integrales de Ciudad del Carmén, SA de CV","Calle 1 Sur PIP Isla del Carmén, CP 24140",Ciudad del Carmén,3,Campeche,4,01 93 83 82 10 29,"Aceite usado, aguas oleosas, tierra contaminada, contenedores contaminados y sólidos impregnados de pintura y/o aceite",4-3-PS-II-04-2009,14/09/2009,14/09/2019,50.00,,,,,,,
